              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  179.84   75 13.20   464.39   47 21.38  32  7 61  84.70 75.34 46.66
   85.20   83  6.92   198.29   30  5.88  94  6  0  190.76 98.49 55.22
  124.11   37  4.48   511.84    8  3.85  97  3  0  304.29 125.95 65.47
  295.82   22  6.50   787.46    5  4.00  98  2  0  392.33 150.52 74.88
  805.06   19 15.17   782.10   10  7.56  97  3  0  480.96 177.47 85.33
  932.70   25 22.95   988.03   15 14.57  97  3  0  570.40 206.60 96.74
  427.22   64 26.86   894.18   21 18.07  98  2  0  595.94 224.41 104.37
  881.42   39 33.30   993.68   27 25.90  96  4  0  578.02 232.94 108.81
  877.44   56 48.24   992.14   37 36.23  91  9  0  576.52 243.86 114.12
  361.66   80 28.39   710.65   12  8.60  97  3  0  598.92 259.60 121.23
  578.11   16  9.08   957.25    6  5.98  98  2  0  584.87 267.48 125.62
  486.35   42 20.14   868.41   16 13.31  98  2  0  568.52 274.11 129.61
  524.53   50 25.61   959.79   19 18.27  97  3  0  569.03 283.96 134.80
  888.50   40 34.53   984.96   25 24.43  94  6  0  548.93 288.95 138.31
  554.48   82 44.39   736.65   24 17.19  94  6  0  538.73 295.01 142.20
  425.49   52 21.47   697.43   17 11.84  96  4  0  533.04 301.50 146.27
  211.67   80 16.63   661.84   17 10.79  97  3  0  562.32 315.41 153.02
  407.58   59 23.48   786.72   20 15.36  97  3  0  584.28 328.20 159.45
  497.91   75 36.32   909.52   25 22.20  95  5  0  605.35 341.14 166.01
  440.05  104 44.71   911.17   30 27.13  93  7  0  577.98 343.83 169.01
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  296.65   78 22.48   352.40   21  7.30  95  5  0  579.14 351.62 173.80
  369.91   30 10.73   725.54    6  4.60  97  3  0  560.88 354.89 177.02
  556.87   37 20.28   890.45   14 12.35  97  3  0  561.89 361.70 181.51
  638.42   44 27.49   974.97   19 17.71  97  3  0  595.40 375.46 188.50
  486.93   58 27.76   886.91   27 23.21  95  5  0  614.08 386.68 194.66
  625.28   57 35.04   934.67   20 18.71  94  6  0  593.76 389.52 197.89
  425.28   56 23.42   612.65   17 10.29  97  3  0  582.18 393.97 201.72
  555.31   35 18.87   912.56   15 13.28  98  2  0  594.00 402.78 207.10
  751.31   33 23.91   983.46   16 15.75  98  2  0  615.46 413.68 213.26
  608.62   51 30.06   892.47   26 22.91  97  3  0  584.55 414.05 215.75
  770.33   54 40.47   970.62   24 23.03  95  5  0  568.56 415.92 218.71
  696.69   48 32.51   942.85   14 12.52  95  5  0  567.64 420.48 222.62
  247.62   38  9.31   542.99   10  5.25  97  3  0  589.56 429.93 228.27
  570.67   28 15.60   965.62   10  9.52  98  2  0  606.68 438.76 233.76
  503.17   50 24.57   940.92   17 15.90  97  3  0  614.24 446.02 238.74
  541.70   68 36.08   917.62   30 26.97  95  5  0  637.91 456.62 244.92
  489.06   69 33.09   910.00   24 21.32  95  5  0  659.43 467.19 251.14
  594.28   58 33.83   753.86   19 13.76  95  5  0  621.23 465.60 253.12
  303.95   44 12.97   654.65    7  4.73  97  3  0  601.29 466.16 255.78
  349.18   53 18.00   907.20   13 11.52  97  3  0  622.85 475.19 261.44
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  709.27   39 27.14   948.00   21 19.53  97  3  0  597.51 474.81 263.81
  532.14   88 45.57   873.66   32 27.38  94  6  0  576.71 474.70 266.26
  475.46   61 28.41   896.77   22 19.17  94  6  0  604.27 483.95 271.98
  500.68   31 15.01   888.91    9  7.64  96  4  0  605.84 488.14 275.94
  265.14   54 14.03   553.17   10  5.35  98  2  0  624.58 496.04 281.22
  740.92   29 21.33   955.69   13 12.13  98  2  0  620.88 499.32 284.88
  539.79   52 27.61   905.24   24 21.39  97  3  0  640.49 507.51 290.29
  488.12   58 27.54   915.67   26 23.60  95  5  0  664.00 516.90 296.16
  801.65   42 33.19   934.44   16 14.96  95  5  0  660.90 521.15 300.25
  447.31   40 17.65   536.29   12  6.44  97  3  0  671.63 528.04 305.28
  655.53   27 17.34   863.09   12 10.37  98  2  0  639.84 526.24 307.26
  694.76   48 32.49   987.51   22 21.31  98  2  0  653.38 532.88 312.17
  678.17   57 37.48   952.38   32 30.13  96  4  0  669.37 540.27 317.37
  571.97   51 28.65   914.33   22 20.08  94  6  0  620.44 534.18 317.82
  922.08   27 24.76   957.31   12 10.84  96  4  0  617.75 536.42 321.14
  718.14   21 14.80   947.89    7  6.57  98  2  0  639.67 543.76 326.26
  487.29   44 20.79   815.24   17 13.85  98  2  0  658.44 550.93 331.35
  867.64   36 30.16   976.32   23 21.64  98  2  0  675.91 558.19 336.49
  761.21   48 36.04   998.10   27 26.11  95  5  0  689.89 565.07 341.52
  639.97   64 39.74   930.76   23 21.18  95  5  0  696.91 570.69 346.13
