              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   91.80  169 15.11    58.59   37  2.10  34 15 52  10.86 11.36 13.28
  340.63   50 16.73   544.33   28 14.72  96  4  0  28.33 15.06 14.56
  307.95  150 45.16   874.74   34 28.70  95  5  0  35.26 16.98 15.25
  225.10   68 14.88   570.44   26 14.59  96  4  0  45.18 19.73 16.25
  450.36  101 44.23   934.42   31 28.01  94  6  0  51.45 21.91 17.06
  199.27  185 35.91   903.75   28 25.06  94  6  0  54.91 23.62 17.73
  315.17   72 22.28   618.13   27 16.11  95  5  0  62.91 26.34 18.76
  341.40   80 26.83   865.77   20 16.99  95  5  0  66.91 28.40 19.58
  105.38  372 38.31   946.73   38 35.03  95  5  0  71.34 30.61 20.47
  148.02  533 77.02   843.20   57 47.33  93  7  0  73.95 32.52 21.26
  532.01  110 57.07   927.65   51 46.00  95  5  0  77.42 34.64 22.14
  836.04   56 46.11   908.09   35 31.11  94  6  0  78.24 36.23 22.85
  252.77  210 51.94   838.36   42 34.70  94  6  0  80.10 38.03 23.65
  410.10   70 28.19   956.53   20 18.49  96  4  0  80.79 39.56 24.36
  715.67   40 28.08   855.93   22 18.80  95  5  0  83.48 41.51 25.23
  126.24  273 33.60   897.00   27 23.56  95  5  0  82.94 42.78 25.87
   71.81  488 34.21   826.47   29 23.56  94  6  0  84.58 44.46 26.67
  560.39   63 34.68   888.33   24 20.72  94  6  0  84.56 45.78 27.34
  201.18  168 33.07   814.67   36 28.47  94  6  0  88.17 47.84 28.29
  469.27   90 41.31   886.55   32 27.60  94  6  0  88.64 49.29 29.03
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  395.92   97 37.53   889.90   36 30.93  94  6  0  87.90 50.43 29.67
   90.63  608 53.84   771.47   48 35.85  93  7  0  87.81 51.65 30.35
  266.54  194 50.54   897.34   37 32.51  94  6  0  87.01 52.68 30.96
  508.92   88 43.58   826.20   36 28.88  94  6  0  88.33 54.11 31.73
  350.77   79 26.95   769.84   26 19.76  95  5  0  90.06 55.61 32.52
  222.05  128 27.68   883.03   23 20.00  95  5  0  91.23 56.99 33.28
  230.17  133 29.97   792.03   27 20.80  93  7  0  94.70 58.88 34.23
  241.62  161 38.07   783.98   32 24.57  91  9  0  93.04 59.70 34.81
  128.64  164 20.63   512.61   24 12.16  92  8  0  92.58 60.70 35.45
  220.80  111 23.97   738.55   22 16.08  93  7  0  90.66 61.34 35.97
  209.49  140 28.67   655.76   30 19.46  93  7  0  90.51 62.28 36.60
  140.90  407 56.04   806.34   49 38.33  94  6  0  90.20 63.14 37.21
   75.87  535 39.65   780.88   39 29.50  94  6  0  90.77 64.16 37.87
  391.21   71 27.16   738.68   29 20.91  95  5  0  91.74 65.24 38.56
  697.62   42 28.88   810.93   22 17.50  95  5  0  93.83 66.56 39.34
  522.59   84 43.02   862.52   35 29.31  95  5  0  95.04 67.70 40.06
  438.16   77 32.93   814.43   33 26.15  94  6  0  95.35 68.68 40.73
  620.55   83 50.09   856.76   49 41.06  95  5  0  95.97 69.69 41.42
  479.80   95 44.74   738.96   30 22.01  94  6  0  93.32 70.00 41.86
  477.39   65 30.38   872.44   39 33.04  94  6  0  94.55 71.00 42.54
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   21.71    6  0.13   892.39   73 63.76  94  6  0  94.73 71.84 43.17
    7.92   43  0.33   623.39   68 41.33  94  6  0  92.61 72.13 43.61
    9.51   35  0.33   877.90   25 21.60  94  6  0  93.63 73.02 44.26
  300.08    5  1.55   882.72   66 56.61  94  6  0  87.41 72.39 44.37
    9.17   16  0.14   825.12   82 65.81  94  6  0  89.22 73.28 45.02
   13.67   53  0.70   776.40   32 24.33  94  6  0  89.44 73.85 45.55
    9.33   27  0.25   873.14   60 51.24  93  7  0  89.75 74.43 46.08
    6.39   25  0.15   890.52   61 52.69  94  6  0  88.62 74.70 46.51
  525.08   55 28.40   846.79   21 17.77  94  6  0  89.09 75.25 47.03
  441.86   50 21.49   836.36   20 16.17  94  6  0  87.56 75.39 47.41
  144.23  278 39.17   847.59   36 29.54  93  7  0  87.10 75.69 47.85
   77.99  446 33.93   788.70   33 25.18  94  6  0  90.83 76.89 48.60
  137.49  195 26.23   850.72   18 14.78  96  4  0  90.49 77.27 49.06
  473.92   44 20.32   774.04   21 15.57  96  4  0  91.15 77.85 49.60
  667.39   63 41.37   930.15   35 32.05  95  5  0  89.42 77.92 49.96
  895.78   44 38.30   921.81   35 31.41  96  4  0  90.72 78.58 50.52
  641.42   60 37.32   953.54   25 22.99  95  5  0  90.38 78.90 50.95
  266.41  119 31.00   728.88   31 22.41  93  7  0  91.36 79.46 51.48
  617.37   69 41.82   908.25   28 25.18  94  6  0  90.52 79.68 51.88
  396.81   83 32.03   844.75   29 23.83  95  5  0  89.16 79.74 52.23
