              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  183.99   58 10.45   445.46   34 14.80  27  6 67  10.46 10.60 7.47
  871.26   16 13.36   915.45    9  7.78  97  3  0  30.77 14.91 9.03
  404.58   57 22.71   765.34   19 14.05  96  4  0  47.10 18.98 10.54
  129.61   43  5.40   642.70    4  2.51  97  3  0  56.09 21.82 11.65
  224.24  102 22.33   808.25   19 15.07  96  4  0  58.69 23.50 12.36
  334.90   55 18.01   782.48   15 11.46  97  3  0  69.31 26.89 13.69
  858.13   37 31.26   992.73   23 22.20  97  3  0  90.20 32.75 15.93
  637.36   65 40.39   940.88   20 18.01  96  4  0  112.78 39.46 18.50
  465.21  102 46.43   843.66   29 24.06  96  4  0  120.86 43.69 20.25
  535.31   23 12.18   811.12   11  8.63  97  3  0  114.25 44.82 20.93
  744.57   23 16.79   915.16   10  8.94  97  3  0  111.70 46.56 21.82
  443.75   59 25.44   849.61   21 17.09  96  4  0  107.07 47.72 22.52
  848.56   31 26.10   861.41   16 13.63  97  3  0  103.85 48.98 23.27
  511.98   41 20.44   991.65   16 15.30  97  3  0  100.44 50.07 23.95
  561.01   50 27.50   902.46   21 18.51  97  3  0  99.67 51.56 24.79
  802.96   32 25.33   850.13   12  9.96  97  3  0  122.46 58.03 27.39
  636.42   56 34.61   990.96   21 20.51  96  4  0  126.50 61.06 28.83
  431.57   24 10.15   844.37   10  8.08  97  3  0  127.09 63.32 30.01
  759.14   17 12.38   908.33    8  7.45  96  4  0  132.28 66.52 31.53
  910.50   39 34.76   999.23   19 18.64  97  3  0  146.19 71.62 33.75
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  254.62   44 11.01   620.61   12  7.57  97  3  0  149.22 74.83 35.33
  874.99   17 14.27   964.84    9  8.95  97  3  0  142.51 75.83 36.15
  876.89   22 18.75   995.84   13 12.45  97  3  0  144.55 78.45 37.54
  358.04   37 13.01   806.31   12  9.53  96  4  0  139.53 79.52 38.40
  374.96   34 12.48   830.04   10  8.43  95  5  0  159.29 85.71 41.07
  260.47   50 12.74   691.77   12  8.38  96  4  0  167.68 89.91 43.08
  904.57   15 13.07  1003.25    8  8.32  96  4  0  172.88 93.55 44.92
  830.02   23 18.80   987.03   14 13.11  96  4  0  184.02 98.54 47.26
  516.16   53 26.61   907.42   17 15.33  95  5  0  198.56 104.47 49.96
  505.30   82 40.59   935.92   19 17.54  95  5  0  210.46 110.12 52.60
  300.32   47 13.75   655.62   12  7.49  96  4  0  207.70 111.21 53.32
  265.64   85 21.94   666.33   19 12.17  95  5  0  208.95 114.62 55.21
  419.03   46 18.70   732.25   14 10.15  96  4  0  214.72 118.96 57.44
  631.64   35 21.83   752.00   13  9.84  95  5  0  215.59 122.28 59.34
  482.72   54 25.36   731.00   22 15.49  95  5  0  216.48 125.61 61.26
  277.50   88 23.92   531.49   21 11.00  95  5  0  204.58 126.09 62.18
  163.74   98 15.62   316.69   27  8.47  95  5  0  195.67 126.76 63.17
  497.05   52 25.24   948.97   13 12.23  96  4  0  183.69 126.44 63.80
  401.54   65 25.41   746.83   16 11.74  97  3  0  171.88 125.78 64.29
  407.43   29 11.50   809.25    8  6.56  96  4  0  180.04 129.03 66.16
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  172.24   72 12.16   412.14   20  7.89  94  6  0  191.45 133.15 68.36
   84.74  258 21.39   220.16   39  8.49  89 11  0  204.05 137.77 70.75
  316.81   60 18.52   822.46   13 10.44  91  9  0  213.58 141.99 73.03
  355.76   59 20.42   894.86   11  9.78  92  8  0  220.70 145.86 75.21
  350.22   42 14.50   842.50   11  8.97  92  8  0  229.15 150.13 77.55
  244.42   57 13.72   633.47   14  8.60  94  6  0  237.52 154.52 79.96
  625.07   20 12.33   936.36   10  9.05  95  5  0  232.31 156.12 81.40
   92.42  170 15.39   202.35   42  8.30  93  7  0  229.60 158.10 82.97
  469.40   45 20.86   923.16   16 14.51  96  4  0  228.91 160.35 84.65
  563.23   38 20.95   890.49   19 16.34  97  3  0  231.19 163.09 86.51
  405.67   59 23.45   794.03   22 16.83  97  3  0  228.40 164.77 88.00
  380.95   80 29.82   801.64   24 19.09  93  7  0  211.01 163.14 88.32
  508.18   38 19.00   925.27   10  8.85  94  6  0  203.71 163.15 89.20
  307.97   38 11.46   314.84   23  6.98  94  6  0  200.40 163.77 90.28
  335.30   70 22.82   527.74   17  8.71  93  7  0  203.22 165.55 91.77
  596.76   58 34.08   870.72   21 18.28  94  6  0  212.64 168.80 93.78
  425.02   48 20.09   790.82   17 13.13  94  6  0  224.93 172.86 96.10
  401.39   43 17.00   726.06   13  9.50  94  6  0  226.40 174.88 97.71
  537.01   44 23.07   920.46   17 15.64  94  6  0  231.45 177.65 99.60
  528.50   70 35.96   824.28   27 21.64  94  6  0  238.17 180.86 101.64
