              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  169.00   87 14.32   494.77   51 24.46  31  9 60  3.83 6.56 5.95
   10.38   12  0.12   761.38   53 39.61  84 14  1  93.49 25.36 12.61
   11.61   18  0.21   954.87   70 64.88  89 11  0  166.48 43.03 19.02
   10.18   23  0.23   937.31  117 106.98  86 14  0  180.14 49.83 21.70
   74.35   53  3.83   847.10  114 94.19  36 10 54  157.70 49.35 21.86
   19.83    2  0.04   721.86  134 94.59  17  7 75  133.77 47.79 21.63
   14.50   33  0.47   627.29  127 77.97  11  5 83  113.95 46.38 21.43
  114.31   28  3.13   516.24  148 74.60  10  5 85  96.75 44.92 21.21
   25.54 1437 35.85   487.77  144 68.43  11  6 83  82.85 43.65 21.03
   25.95   25  0.64   505.33  128 63.30  11  5 84  70.34 42.26 20.80
   19.68  452  8.69   432.50  135 57.01  22  8 70  59.83 40.93 20.58
   26.13   30  0.77   348.63  146 49.66  13  6 80  50.93 39.65 20.37
   50.42   64  3.17   313.15  142 43.56  12  6 81  43.34 38.39 20.14
   39.94   45  1.77   297.26  149 43.15  12  6 83  37.06 37.21 19.94
   12.00   25  0.30   296.51  153 44.29  10  5 85  31.74 36.07 19.73
   11.67   37  0.42   295.59  143 41.21   9  5 86  26.94 34.90 19.51
   10.94   13  0.14   289.77  148 41.77   9  5 87  23.10 33.81 19.30
   12.02   16  0.19   283.66  143 39.66  11  5 84  19.62 32.71 19.08
   13.02   29  0.37   275.06  147 39.42   9  5 86  17.15 31.75 18.90
   94.92   30  2.77   282.35  150 41.34  11  5 84  14.74 30.76 18.70
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   14.11   16  0.22   298.01  141 40.99  16  6 77  12.93 29.84 18.51
   11.02   24  0.26   334.36  137 44.68  12  6 82  11.17 28.91 18.31
   72.50   14  1.02   356.38  133 46.17  13  5 82  10.06 28.09 18.15
   11.27   10  0.11   373.93  130 47.55  15  7 78  8.67 27.20 17.95
   11.65   40  0.45   361.20  129 45.48  15  7 79  7.72 26.38 17.76
   22.35   99  2.17   368.70  130 46.98  16  7 77  6.91 25.60 17.59
   10.66   65  0.68   399.68  120 46.71  17  6 77  6.16 24.82 17.40
   10.69   71  0.74   410.74  113 45.15  15  8 77  5.67 24.10 17.23
   40.75   87  3.47   380.73  130 48.42  19  6 74  5.25 23.40 17.07
    8.49   25  0.20   402.44  131 51.67  11  5 84  4.52 22.65 16.87
   25.12  125  3.06   354.31  127 44.07  12  5 83  4.14 21.97 16.70
    9.07   43  0.38   375.36  129 47.45  12  5 82  3.97 21.34 16.54
    9.77   21  0.20   399.51  126 48.98   9  4 87  3.96 20.77 16.39
   15.72   54  0.84   398.19  124 48.40  14  6 81  3.82 20.19 16.24
   15.43  136  2.05   385.36  124 46.58  17  7 76  3.46 19.57 16.06
   16.50   63  1.02   386.88  123 46.60  15  6 78  3.08 18.96 15.89
    9.39   37  0.34   365.69  125 44.51  11  5 85  2.76 18.37 15.71
   51.24   59  2.97   350.88  124 42.44  11  5 84  2.64 17.83 15.55
   10.07   27  0.26   347.40  126 42.70  10  4 86  2.39 17.27 15.38
   50.22   20  0.99   368.54  127 45.55  14  6 80  2.32 16.77 15.22
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.71   38  0.32   383.77  120 44.84  13  5 82  2.48 16.33 15.09
    7.13   21  0.15   378.41  125 46.14  14  6 80  2.48 15.87 14.94
   10.15   33  0.32   376.28  125 45.91  11  5 84  2.80 15.50 14.82
    6.23   22  0.13   377.52  124 45.70  11  5 84  2.52 15.02 14.65
    8.30   28  0.23   363.37  126 44.63  11  5 84  2.21 14.54 14.49
    9.69   57  0.54   352.01  121 41.59  10  5 85  1.95 14.08 14.33
   17.87   60  1.04   330.73  126 40.65  11  4 85  2.02 13.70 14.19
   72.33   54  3.79   312.12  126 38.55  10  4 86  1.94 13.30 14.04
    9.28   12  0.11   318.49  129 39.99   9  4 87  1.80 12.89 13.89
    9.54   35  0.32   312.00  123 37.41   9  4 87  1.98 12.56 13.76
    6.37   29  0.18   323.62  127 40.16   9  5 86  2.05 12.23 13.63
    9.01   19  0.17   300.73  128 37.73   9  4 86  2.12 11.91 13.50
    9.20   27  0.25   312.16  121 36.78  10  4 86  2.04 11.57 13.35
    9.20   13  0.12   314.63  128 39.40  11  5 84  1.96 11.24 13.22
    9.74   43  0.41   300.40  125 36.78  10  5 85  1.81 10.90 13.07
  110.42   33  3.55   321.07  124 38.80  10  4 86  1.84 10.60 12.94
    7.99   46  0.36   318.21  124 38.53  10  5 85  1.72 10.29 12.80
    9.19   24  0.22   296.80  126 36.59   8  4 88  1.83 10.03 12.68
    9.79   22  0.21   289.36  128 36.10   9  4 87  1.78 9.75 12.55
   46.83   39  1.79   285.70  126 35.27  10  4 86  1.66 9.46 12.42
