              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  174.51   58  9.95   449.54   35 15.37  25  6 69  1.73 1.83 1.75
  328.36   13  4.33   112.70    4  0.44  21  2 77  1.85 1.85 1.76
  334.59   28  9.28    17.12    9  0.14  20  2 78  1.95 1.88 1.77
  565.92    7  4.14   422.00    1  0.41  19  2 79  1.96 1.88 1.77
  688.78   18 12.44    17.68    2  0.03  19  2 79  1.88 1.87 1.76
  218.86   26  5.47    19.46    6  0.11  20  2 78  1.91 1.87 1.77
  965.09    7  6.60     8.00    1  0.01  21  2 77  1.92 1.88 1.77
  212.16   20  4.06    12.62    1  0.02  23  3 74  1.85 1.86 1.76
  210.25   35  7.23    33.87    5  0.16  21  3 76  2.03 1.90 1.78
  394.21   14  5.23    20.50    1  0.02  21  2 77  2.02 1.90 1.78
  124.34   13  1.58    39.62    2  0.08  22  3 75  2.47 2.00 1.82
  219.12   23  4.98     9.31    5  0.05  22  3 74  2.62 2.05 1.84
   94.28   40  3.65     6.22   13  0.08  21  3 76  2.53 2.05 1.84
  507.74   12  6.10    27.56    1  0.02  21  2 77  2.44 2.05 1.84
  332.14   23  7.52    21.30    4  0.09  21  2 77  2.38 2.05 1.84
  246.35   26  6.30     9.38    3  0.03  24  4 72  2.32 2.04 1.84
  342.02   22  7.28   293.74    2  0.66  35  6 59  2.42 2.08 1.85
   61.70   80  4.82     9.57   19  0.18  24  4 72  2.50 2.10 1.86
  491.56   13  6.48     8.73    4  0.04  20  2 78  2.67 2.15 1.88
  307.58   40 12.01    18.78   11  0.20  22  3 74  2.57 2.15 1.88
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   29.96  167  4.88    10.39   28  0.29  43  9 47  4.36 2.54 2.03
   34.62  110  3.70    10.45   69  0.70  33  6 61  4.08 2.54 2.03
  127.45   13  1.64    25.40    2  0.05  38  5 57  4.05 2.58 2.05
  100.67   77  7.62    11.66   28  0.32  36  7 57  4.34 2.69 2.10
  241.43   21  4.95    30.59    2  0.05  34  6 60  4.04 2.69 2.10
  180.62   14  2.49   289.22    2  0.65  33  5 62  3.88 2.70 2.11
  148.98   51  7.36    25.53   15  0.38  33  5 62  3.67 2.69 2.12
  100.20   28  2.71    20.61    3  0.07  31  5 64  4.36 2.87 2.18
   23.46  239  5.48    10.42   42  0.43  51 11 39  7.41 3.55 2.43
   22.50  164  3.59    10.09   93  0.92  37  7 56  6.65 3.51 2.43
   47.95   93  4.38    10.67   24  0.25  45  8 47  6.95 3.68 2.50
   30.02  168  4.93    11.80   42  0.48  52  9 39  7.04 3.80 2.56
   27.81  157  4.25    12.16   70  0.84  40  8 52  6.49 3.79 2.57
   34.88  121  4.13    30.38   15  0.45  35  6 59  5.96 3.77 2.58
  150.88   46  6.76    26.24   10  0.26  29  4 67  5.59 3.76 2.59
  188.40   29  5.39    90.25    5  0.48  32  5 63  5.04 3.70 2.58
  136.13   55  7.30    30.95   11  0.34  37  6 56  4.64 3.66 2.58
   75.27   61  4.50     8.02   25  0.20  37  7 57  4.94 3.75 2.62
  403.56   24  9.65     6.71    3  0.02  31  5 64  4.56 3.71 2.62
  260.60   28  7.17    18.35    5  0.08  31  5 64  4.31 3.69 2.63
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  286.51   32  8.92     8.52    5  0.04  29  4 67  3.88 3.62 2.61
  327.25   16  5.27    28.13    3  0.08  28  4 68  3.75 3.59 2.62
  413.82   30 12.32    17.12    5  0.08  31  4 64  3.64 3.57 2.62
  283.44  144 39.79   324.82   16  5.11  42  5 53  4.15 3.69 2.67
  554.47   38 20.52   662.86   25 16.38  28  4 68  3.97 3.66 2.67
  326.67   19  6.16   112.18    2  0.24  27  3 70  4.14 3.71 2.70
  112.98   27  3.02    11.24    4  0.05  28  4 68  3.81 3.65 2.69
  350.23   27  9.10    12.22    5  0.06  28  4 67  3.97 3.69 2.72
  520.62   20 10.42    29.33    1  0.03  28  4 68  3.82 3.67 2.72
  370.39   32 11.61    60.61   34  1.99  31  5 65  3.83 3.68 2.74
   65.60   14  0.90    18.12    3  0.06  29  4 68  3.63 3.64 2.73
  402.54   17  6.88    16.89    1  0.01  31  5 65  3.45 3.60 2.73
  239.58   20  4.66    14.60    4  0.06  29  4 68  3.15 3.53 2.71
  368.75   21  7.63   103.33    4  0.36  28  4 68  3.20 3.53 2.72
  359.43   11  3.96    12.76    2  0.03  28  4 68  3.48 3.58 2.75
  274.90   31  8.26     9.78    4  0.03  28  4 68  3.25 3.53 2.74
  416.38   44 17.76    17.59    7  0.12  29  4 67  3.28 3.52 2.75
  754.87    5  3.91    22.50    1  0.02  28  3 68  3.08 3.47 2.74
  214.44   32  6.66    11.60    7  0.08  29  4 68  2.92 3.42 2.73
  408.46   30 11.84    17.17    6  0.10  28  4 68  2.85 3.39 2.73
