              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  253.62   84 20.74   178.02  403 70.10  37  7 56  35.95 70.52 71.95
   95.56    1  0.08    17.36   15  0.26  95  5  1  154.83 94.73 80.51
   49.33    0  0.01     8.76    9  0.08  98  2  0  277.89 123.03 90.72
  662.72    7  4.66   163.79   77 12.33  98  2  0  391.31 152.41 101.52
  484.44   13  6.01    97.76  124 11.87  98  2  0  487.84 180.94 112.24
  500.64   27 13.20   133.11  208 27.04  98  2  0  569.89 208.62 122.86
  522.06   20  9.99   109.72  197 21.10  97  3  0  636.21 234.73 133.13
  412.98   21  8.59   177.02  156 27.02  96  4  0  669.63 255.13 141.56
  775.44    5  3.79   419.64   21  8.73  97  3  0  684.81 272.02 148.88
  603.51    7  4.30   170.61   73 12.09  98  2  0  701.00 289.07 156.37
  762.16   15 11.01   211.33  126 25.98  98  2  0  722.67 307.28 164.38
  552.97   14  7.77   159.52  154 24.02  98  2  0  737.74 324.20 172.05
  655.32   23 14.72   324.06  111 35.19  97  3  0  753.58 341.21 179.86
  804.18    4  3.46   486.50   25 12.02  98  2  0  765.62 357.37 187.48
  444.65    9  3.73   163.49   81 12.87  98  2  0  775.40 372.90 194.98
  362.37   23  8.31   154.30  182 27.50  98  2  0  786.64 388.56 202.62
  730.23   17 12.41   273.70  110 29.48  98  2  0  799.69 404.44 210.42
  648.39   12  7.79   281.81   95 26.06  97  3  0  810.31 419.75 218.12
  707.81   15 10.44   570.23   34 18.88  98  2  0  822.31 435.19 225.96
  826.57   11  8.80   174.92  123 21.03  98  2  0  831.44 449.88 233.62
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  707.37   15 10.08   204.07  151 30.03  98  2  0  836.83 463.61 241.02
  786.63   17 12.82   369.25   92 33.16  98  2  0  840.62 476.71 248.27
  861.33   13 10.85   525.80   50 25.62  98  2  0  844.32 489.48 255.47
  863.38   15 13.07   265.21  115 29.81  98  2  0  844.70 501.24 262.37
  445.39   16  7.13   150.13  190 27.91  97  3  0  847.97 513.25 269.42
  698.06    7  4.64   177.40  128 22.10  97  3  0  851.39 525.00 276.44
  568.74   30 16.88   309.63  118 35.79  98  2  0  856.13 536.77 283.52
  578.61   13  7.63   345.03   73 24.70  97  3  0  860.77 548.28 290.57
  718.90   14 10.18   201.38  101 19.80  98  2  0  865.04 559.48 297.55
  775.98   19 14.70   262.62  128 32.95  98  2  0  868.87 570.37 304.47
  562.91    7  3.63   178.47  120 20.89  98  2  0  872.11 580.90 311.32
  601.59   31 18.44   297.36  122 35.57  98  2  0  873.94 590.90 318.02
  603.24   22 12.72   268.00  114 29.88  98  2  0  876.94 600.85 324.74
  730.87   20 14.34   222.86  124 27.00  98  2  0  878.06 605.66 328.05
  419.28   24  9.74   175.40  159 27.25  98  2  0  880.19 615.09 334.64
  601.37   12  7.05   306.22   79 23.50  98  2  0  881.74 624.16 341.14
  373.65   32 11.82   159.34  191 29.73  98  2  0  880.62 632.40 347.37
  503.60   23 11.41   195.48  162 31.00  98  2  0  878.16 640.04 353.41
  808.12   10  8.05   235.94  136 31.32  98  2  0  876.94 647.61 359.45
  766.41   13  9.95   152.32  141 21.03  98  2  0  876.62 655.10 365.47
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  821.38   14 11.15   192.02  127 23.74  98  2  0  876.46 662.34 371.42
  501.40   14  7.00   146.16  158 22.60  98  2  0  881.17 670.39 377.68
  676.03   14  9.18   177.45  156 27.05  98  2  0  885.37 678.23 383.88
  557.59   31 16.72   245.76  130 31.27  98  2  0  890.08 686.06 390.09
  876.44    7  6.25   204.28  146 29.14  98  2  0  891.60 693.13 396.06
  687.20   23 15.50   222.18  132 28.70  98  2  0  892.79 699.92 401.94
  497.98   25 12.20   196.84  143 27.41  98  2  0  891.70 706.05 407.60
  613.61   12  7.31   199.40  136 26.44  98  2  0  891.54 712.12 413.24
  839.07   15 12.29   235.53  117 26.95  98  2  0  893.02 718.35 418.95
  841.42   12 10.19   181.68  163 28.95  98  2  0  897.14 724.98 424.79
  850.83   15 12.46   323.10   88 27.73  98  2  0  899.51 731.17 430.50
  870.32   11  9.09   180.64  137 24.20  98  2  0  902.35 737.33 436.20
  521.17   22 11.15   203.95  146 29.16  98  2  0  905.37 743.41 441.88
  588.33   22 12.64   190.39  158 29.32  98  2  0  908.49 749.41 447.53
  803.58    9  6.75   243.94  121 28.73  98  2  0  909.76 754.91 453.00
  745.94   24 17.70   227.34  143 31.79  98  2  0  908.89 759.83 458.28
  731.51   19 13.85   230.22  147 33.01  98  2  0  908.64 764.68 463.52
  759.90   11  8.53   230.72  131 29.44  98  2  0  907.72 769.23 468.66
  362.80   44 15.69   231.32  134 30.36  98  2  0  905.35 773.29 473.61
  370.20   21  7.55   163.50  150 23.93  98  2  0  903.61 777.28 478.53
