              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  171.65   76 12.72   460.48   48 21.60  29  8 63  11.12 9.35 6.36
  743.15   47 34.17   948.34   20 18.43  97  3  0  25.01 12.39 7.47
  617.51   51 30.93   804.68   16 12.96  97  3  0  34.92 14.94 8.44
  413.94   22  8.73   474.37   10  4.54  97  3  0  44.01 17.53 9.43
  448.04   72 31.50   464.55   29 12.97  96  4  0  49.59 19.60 10.26
  611.51   93 55.75   624.40   34 20.54  96  4  0  56.00 21.98 11.21
  571.65   53 29.40   708.68   26 17.78  96  4  0  61.31 24.22 12.14
  590.91   53 30.40   643.73   21 13.26  97  3  0  66.53 26.57 13.11
  311.66   67 20.51   722.15   19 13.11  97  3  0  69.30 28.48 13.94
  627.56   85 52.25   889.90   23 20.07  95  5  0  72.76 30.55 14.85
  678.60   73 48.29   815.43   29 22.76  96  4  0  74.62 32.34 15.67
  535.68   42 22.02   726.83   18 13.13  97  3  0  75.69 33.96 16.44
  733.00   37 26.84   778.78   16 11.94  96  4  0  77.98 35.82 17.30
  692.69   57 38.62   839.74   25 20.33  96  4  0  79.04 37.43 18.09
  418.04   61 24.77   783.00   23 17.51  96  4  0  80.16 39.04 18.88
  573.50   62 34.87   939.48   27 24.85  95  5  0  84.17 41.24 19.90
  563.42   65 35.64   778.07   24 18.38  96  4  0  83.43 42.49 20.59
  408.06   28 11.20   664.40    8  5.25  97  3  0  83.89 43.94 21.36
  695.58   27 18.13   976.13   12 11.63  97  3  0  83.65 45.20 22.07
  666.35   44 28.37   895.73   22 19.15  97  3  0  86.15 46.99 22.97
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  438.24   32 13.69   738.31   14  9.87  97  3  0  87.16 48.50 23.79
  741.40   18 12.81   963.09    7  7.05  97  3  0  84.69 49.25 24.35
  701.52   51 34.86   902.84   20 17.89  96  4  0  83.88 50.25 24.99
  654.00   52 33.26   735.26   16 11.20  97  3  0  86.96 52.00 25.91
  686.27   51 34.24   935.92   20 18.18  97  3  0  84.07 52.52 26.40
  751.63   58 42.71   986.70   18 17.72  97  3  0  84.05 53.55 27.07
  674.27   51 33.64   890.48   19 16.43  96  4  0  83.51 54.45 27.70
  508.94   28 13.71   885.26    9  8.21  97  3  0  83.54 55.41 28.35
  761.78   48 35.41   865.88   17 14.20  96  4  0  84.51 56.54 29.06
  573.48   35 19.71   646.00    8  4.79  97  3  0  84.41 57.44 29.71
  587.30   28 16.17   945.59   11  9.97  97  3  0  84.04 58.25 30.32
  735.41   46 33.17   947.34   17 16.18  97  3  0  84.08 59.11 30.95
  678.90   73 48.51   775.17   21 15.74  96  4  0  82.64 59.63 31.46
  617.55   32 19.12   904.32   14 12.19  97  3  0  82.04 60.25 32.01
  728.01   27 19.48   993.04   13 13.09  96  4  0  84.18 61.43 32.76
  197.48   67 13.00   447.77   21  9.01  95  5  0  85.16 62.39 33.43
  278.07   36  9.88   623.79   10  5.91  96  4  0  85.73 63.26 34.08
  749.13   62 45.72   939.42   18 16.33  96  4  0  84.64 63.76 34.60
  597.84   65 38.11   792.72   24 18.88  96  4  0  84.39 64.40 35.17
  810.32   47 37.34   963.40   17 15.71  96  4  0  85.25 65.24 35.81
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  347.53   53 17.85   715.69   17 11.81  95  5  0  86.66 66.20 36.49
  329.13   43 13.72   680.33   13  8.97  96  4  0  87.30 67.02 37.13
  363.08   72 25.38   523.38   20 10.17  95  5  0  89.32 68.13 37.87
  558.08   39 21.53   892.00   13 11.15  96  4  0  88.41 68.64 38.41
  412.27   56 22.70   687.93   18 12.15  96  4  0  86.33 68.85 38.83
  708.53   39 27.12   857.33   13 11.30  96  4  0  86.72 69.49 39.41
  369.87   79 28.42   756.07   17 12.62  96  4  0  86.78 70.08 39.98
  687.24   60 40.49   819.53   21 17.05  96  4  0  85.20 70.30 40.40
  780.49   51 38.96   963.25   13 12.51  96  4  0  84.25 70.58 40.85
  526.66   61 31.58   870.88   16 13.69  96  4  0  87.35 71.71 41.60
  502.95   46 22.54   820.08   14 11.53  96  4  0  85.60 71.85 42.00
  606.27   51 30.49   820.10   19 15.53  96  4  0  84.18 72.00 42.40
  737.63   53 38.32   860.26   21 17.89  96  4  0  84.32 72.43 42.90
  352.53   71 24.54   798.09   15 11.92  97  3  0  83.07 72.56 43.29
  618.90   31 18.73   958.24   12 11.04  97  3  0  82.57 72.79 43.72
  544.11   52 27.51   828.75   16 12.86  97  3  0  83.41 73.29 44.23
  342.70   67 22.38   868.08   15 12.54  96  4  0  84.39 73.84 44.77
  669.23   40 26.33   979.86   20 19.03  96  4  0  83.95 74.11 45.20
  617.14   58 35.00   815.92   24 18.96  96  4  0  85.76 74.81 45.79
  508.38   77 38.06   753.90   23 17.07  95  5  0  86.92 75.44 46.35
