              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   40.19  140  5.48   138.03   56  7.52  16 16 68  2.10 2.94 2.21
  487.14   26 12.32   929.57  104 94.38  15 10 75  2.01 2.89 2.20
  852.32  149 124.23    14.49    8  0.11  18 12 70  2.23 2.91 2.22
  850.95  125 103.91    16.87    5  0.09  18 13 69  2.26 2.90 2.22
  735.20  175 125.77    15.94    7  0.10  18 12 70  2.14 2.85 2.21
  866.83  125 106.13    16.56    7  0.11  18 12 69  2.13 2.82 2.21
  894.91  129 112.72    16.41    6  0.09  18 12 70  2.04 2.78 2.20
  835.70  137 111.93    17.56    6  0.10  17 12 71  1.96 2.74 2.19
  841.78  177 145.57   121.18    9  1.12  17 12 72  2.12 2.75 2.20
  863.09  149 125.32    16.24    7  0.10  17 12 71  2.18 2.74 2.20
  774.63  150 113.35    16.06    6  0.10  17 12 71  2.14 2.71 2.20
  772.12  171 128.59    22.24    7  0.16  17 12 71  2.27 2.72 2.21
  789.60  132 101.76    14.00    5  0.07  17 12 71  2.16 2.68 2.20
  732.76  149 106.42   171.08    6  1.09  17 12 71  2.20 2.67 2.20
  804.85  141 110.93    15.06    7  0.10  17 12 71  2.24 2.67 2.20
  849.70  160 132.91    17.41    7  0.12  17 12 71  2.13 2.63 2.19
  701.79  137 93.78    20.55    5  0.10  16 12 72  2.12 2.61 2.19
  670.09  182 119.09    17.33    7  0.12  17 12 71  1.95 2.55 2.18
  829.18  137 110.77    15.36    6  0.08  18 13 70  2.04 2.55 2.18
  751.94  134 98.37    17.00    6  0.09  18 12 70  2.04 2.53 2.18
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  791.18  147 113.85    17.10    7  0.12  17 12 71  2.34 2.58 2.20
  233.69   31  7.03   950.13   94 87.29  15 11 74  2.28 2.56 2.19
  812.89  119 94.81   744.02   24 17.57  17 12 71  2.23 2.54 2.19
  831.54  160 129.56    15.08    7  0.11  17 12 71  2.28 2.54 2.19
  899.55  164 143.80    15.90    8  0.12  17 12 71  2.23 2.52 2.19
  822.77  132 106.42    16.13    6  0.09  17 12 71  2.04 2.47 2.18
  812.54  157 124.93    17.86    7  0.12  17 12 71  2.03 2.46 2.17
  862.31  157 131.83    14.33    8  0.11  18 12 70  1.95 2.42 2.17
  734.65  151 108.52    13.83    7  0.09  18 12 70  2.11 2.44 2.17
  796.67  154 119.75    17.06    9  0.14  17 12 71  2.25 2.46 2.18
  791.66  143 110.43    14.67    7  0.10  17 12 71  2.21 2.44 2.18
  903.13  126 110.99    15.93    6  0.09  17 12 71  2.25 2.44 2.18
  844.74  152 125.36    14.68    9  0.13  17 12 71  2.14 2.41 2.17
  819.05   85 67.63   888.89   54 46.94  16 11 73  1.96 2.37 2.16
    7.79   19  0.15   952.26  107 99.45  14 11 75  2.05 2.37 2.16
  856.27  150 125.24   449.31   13  5.62  17 12 72  2.04 2.36 2.16
  878.90  122 104.53    15.36    6  0.08  18 12 70  1.95 2.33 2.15
  863.07  147 123.94    15.22    7  0.10  17 12 71  1.96 2.32 2.15
  830.17  147 119.28    18.38    8  0.14  17 12 71  2.04 2.33 2.16
  887.22  129 111.42    16.25    6  0.10  17 12 71  1.96 2.30 2.15
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  837.56  146 119.29    16.89    5  0.09  17 12 71  2.11 2.32 2.16
  812.23  132 104.93    16.68    6  0.10  17 12 71  2.17 2.33 2.16
  887.20  146 126.14    16.45    6  0.10  18 12 70  2.21 2.33 2.17
  867.08  141 119.20    16.00    5  0.08  17 12 71  2.27 2.34 2.17
  799.27  159 124.16    15.17    7  0.11  16 12 71  2.53 2.39 2.19
  840.75  128 105.24    15.93    5  0.09  17 12 71  2.38 2.36 2.18
  818.44  142 113.17    17.33    5  0.09  17 12 71  2.55 2.40 2.20
  735.03  125 89.96    17.29    6  0.10  17 12 71  2.38 2.37 2.19
  855.69  157 131.53    17.28    7  0.12  17 12 71  2.32 2.36 2.19
  765.01  130 97.16    14.83    4  0.06  17 12 70  2.42 2.38 2.19
  769.77  150 112.86    14.03    7  0.09  17 12 71  2.20 2.33 2.18
  835.17  131 106.76    15.29    6  0.09  17 12 70  2.17 2.32 2.18
  871.98  148 126.03    18.19    7  0.13  17 12 71  2.22 2.32 2.18
  783.40  160 122.53    22.23    8  0.17  18 14 68  2.03 2.28 2.16
  821.43  144 115.66    16.41    6  0.09  17 12 70  1.94 2.25 2.16
  808.37  117 92.32    14.17    5  0.07  17 12 71  2.17 2.29 2.17
  808.47  173 136.48    13.54   10  0.13  17 12 71  2.15 2.28 2.17
  856.80  152 126.79    16.13    6  0.09  17 12 71  2.35 2.32 2.18
  826.97  133 107.09    17.03    6  0.10  17 12 71  2.30 2.31 2.18
  800.01  138 107.98    17.66    6  0.11  17 12 71  2.33 2.32 2.18
