              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  264.64   90 23.30   208.18  326 66.33  33  7 60  9.29 197.07 209.13
  281.60    4  1.24   565.64  175 96.77  18  5 78  8.10 190.63 206.70
  240.87    2  0.54   513.50  182 91.34  18  5 78  7.23 184.43 204.32
  474.33    2  1.11   518.49  196 99.49  17  4 78  6.43 178.43 201.95
  185.44    5  0.91   470.82  211 96.81  18  4 78  5.75 172.62 199.62
  302.86    1  0.41   550.67  177 95.00  17  4 78  5.40 167.05 197.32
  356.46    3  0.90   495.39  212 102.49  18  5 78  4.72 161.58 195.03
  230.70    5  1.04   515.80  209 105.16  18  5 78  4.45 156.36 192.79
  541.20    3  1.59   515.86  185 93.19  20  5 75  4.21 151.31 190.57
  252.36    3  0.81   531.17  178 92.09  18  5 77  4.09 146.44 188.38
   21.64    6  0.13   400.07  223 87.20  19  6 75  4.02 141.73 186.22
   27.56    1  0.02   434.77  246 104.56  19  6 75  3.63 137.12 184.06
   39.00    0  0.02   505.57  218 107.59  19  5 76  3.37 132.67 181.93
   23.04    5  0.10   550.25  187 100.49  20  5 75  3.16 128.36 179.83
  942.63   41 37.37   668.74   84 54.98  16  4 79  2.91 124.19 177.75
  982.49   79 75.76    11.31   25  0.28  15  4 81  2.61 120.13 175.68
  918.03   82 73.13     6.78   34  0.23  15  4 81  2.60 116.25 173.66
  952.76   83 77.49     8.03   31  0.24  15  4 81  2.59 112.51 171.66
  954.40   33 31.03   570.51  107 59.66  16  4 79  2.42 108.85 169.67
  378.92    4  1.37   164.84  656 105.68  18  6 76  2.50 105.37 167.72
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   34.06    3  0.12   346.62  296 100.03  19  5 76  2.35 101.95 165.78
    8.53    3  0.02   616.26  157 94.76  20  5 75  2.52 98.70 163.88
   12.00    3  0.03   579.66  173 98.02  18  4 78  2.74 95.59 162.01
   12.21    2  0.02   833.02  110 89.31  18  4 78  2.56 92.49 160.14
  992.54   65 62.80   591.19   46 26.55  16  4 80  2.40 89.49 158.28
  967.49   89 83.80     6.89   26  0.18  17  5 78  2.26 86.59 156.45
 1022.73   80 79.99     6.93    9  0.06  15  4 81  2.21 83.81 154.65
 1009.05   82 80.49     7.16    9  0.07  15  4 81  2.11 81.10 152.86
  990.07   88 85.05     6.63   14  0.09  16  4 80  2.02 78.48 151.09
  955.31   82 76.20     7.98   21  0.16  17  5 78  2.17 75.99 149.36
 1000.37   78 76.18     5.71   10  0.05  16  4 80  1.99 73.52 147.62
  986.59   89 86.00     6.11   13  0.08  15  5 80  2.07 71.18 145.93
 1014.41   85 84.59     8.33   10  0.08  15  4 80  1.98 68.89 144.24
 1017.77   80 79.90     9.48    6  0.06  16  4 80  1.98 66.68 142.58
  963.50   89 84.02     5.25   28  0.14  16  5 79  1.83 64.52 140.92
  955.82   94 87.80     7.63   12  0.09  15  5 80  1.70 62.43 139.29
  958.87   86 80.53     8.54   14  0.12  16  5 79  1.83 60.45 137.69
  944.79   41 37.64   669.10   76 49.79  17  5 78  1.92 58.55 136.11
   21.00    0  0.01   573.83  180 100.79  17  4 78  1.85 56.67 134.53
   59.56    3  0.16   392.56  245 93.95  18  5 77  1.80 54.85 132.98
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.86    3  0.02   719.58  133 93.31  18  5 77  1.90 53.12 131.45
   63.58    2  0.12   507.05  211 104.37  18  5 77  1.99 51.46 129.95
    6.40    0  0.00   647.45  156 98.94  18  5 77  1.92 49.81 128.45
   52.00    2  0.08   811.32  138 109.16  19  5 76  1.78 48.20 126.96
   13.71    1  0.01   702.73  133 91.40  18  4 77  1.81 46.68 125.50
  102.67    1  0.12   635.05  167 103.29  18  5 77  1.84 45.21 124.05
   37.58    4  0.14   676.54  156 103.02  19  5 76  1.86 43.79 122.62
   38.55    3  0.12   517.15  196 99.08  17  5 78  1.81 42.39 121.21
    4.00    0  0.00   694.84  141 95.53  19  5 77  1.68 41.03 119.80
    9.94    3  0.03   578.48  165 93.31  19  5 76  1.73 39.75 118.43
   50.13    3  0.15   477.80  201 93.93  18  5 77  1.69 38.48 117.06
  832.67    4  2.93   576.28  178 100.26  18  5 77  1.74 37.28 115.72
   65.04    5  0.29   557.38  170 92.47  18  5 77  2.18 36.20 114.42
  497.81    3  1.51   752.59  147 108.02  18  5 77  2.23 35.09 113.11
    8.67    1  0.01   676.91  158 104.54  18  5 78  2.04 33.97 111.80
  388.14    3  1.06   646.77  151 95.67  18  5 77  2.03 32.92 110.51
   55.75    2  0.09   719.59  137 96.32  18  4 78  1.95 31.88 109.24
  518.00    1  0.40   800.33  141 110.19  18  5 78  1.96 30.90 107.99
  112.00    1  0.08   641.01  162 101.63  18  5 77  1.97 29.95 106.75
    4.00    0  0.00   770.22  123 92.19  21  5 74  2.13 29.06 105.54
