              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  255.21   74 18.46   178.71  364 63.57  40  6 53  1.92 16.63 92.40
   36.06   87  3.05   107.66 2344 246.49  67 19 14  3.63 16.51 91.47
   25.00  116  2.82   100.08 3147 307.53  55 22 23  4.54 16.28 90.51
   97.33  186 17.71   108.65 1704 180.79  47 16 37  4.29 15.84 89.49
   25.25  101  2.49    91.36 2602 232.12  58 19 23  4.51 15.50 88.51
   24.94  115  2.80   106.42 3037 315.66  64 22 14  4.41 15.12 87.52
   72.95  146 10.39   104.64 2632 268.98  51 20 29  5.42 14.98 86.62
   24.97  116  2.83   103.07 3063 308.29  60 22 19  5.66 14.72 85.69
   29.33  100  2.86   107.18 2581 270.15  58 21 21  5.24 14.33 84.73
   26.27  113  2.89   103.21 2907 293.01  58 22 20  5.47 14.09 83.82
   33.24  104  3.37   106.55 2752 286.32  59 21 20  4.95 13.69 82.86
   24.76  103  2.48   110.51 2618 282.57  61 21 18  5.96 13.62 82.03
  118.18  262 30.27   108.49 1208 128.01  32 12 56  5.79 13.33 81.12
   86.00  180 15.15   104.01 2279 231.49  47 19 34  5.51 13.03 80.22
   24.41  101  2.41   105.59 2720 280.45  59 22 20  7.23 13.14 79.48
   26.48  125  3.23   101.89 2952 293.68  57 22 21  8.58 13.24 78.74
   26.68  107  2.78   109.24 2411 257.22  65 21 14  8.31 13.03 77.90
   28.33  109  3.02    95.18 2874 267.17  58 22 21  8.44 12.90 77.09
   23.67  124  2.87    98.21 3206 307.50  55 23 23  9.07 12.88 76.34
   28.47  113  3.14   107.13 2671 279.44  59 22 19  8.87 12.71 75.53
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   24.97  109  2.66   104.37 2754 280.70  59 23 18  8.55 12.52 74.73
   20.40   87  1.74   107.78 1842 193.90  70 20 10  8.86 12.45 73.98
   35.45   53  1.83   115.68  750 84.77  79 16  5  9.59 12.49 73.27
   37.67   30  1.09   103.75  460 46.62  81 15  3  10.22 12.52 72.57
   29.82  110  3.20   113.73 2700 299.83  62 23 15  9.57 12.31 71.80
   59.96  136  7.95   108.15 2452 258.91  54 21 25  9.93 12.29 71.10
   29.17  115  3.28   101.23 2930 289.71  56 23 21  9.11 12.04 70.32
   30.08  105  3.07   107.82 2810 295.86  61 23 16  9.17 11.95 69.61
   27.17  105  2.79   109.76 2833 303.69  63 24 13  9.03 11.82 68.89
   26.83  117  3.07   104.68 2957 302.32  54 22 24  9.16 11.76 68.20
  121.02  281 33.20   103.40 1199 121.02  30 13 57  8.79 11.60 67.48
  137.57    2  0.24     6.86    1  0.01   6  3 91  7.52 11.24 66.70
  131.61  273 35.07     8.83  125  1.08  14  5 81  6.51 10.90 65.93
    4.00    0  0.00     8.57    1  0.01  86 13  0  6.90 10.84 65.27
  141.72  185 25.60     8.22   50  0.40  55 10 35  7.54 10.84 64.63
  147.54  199 28.62     8.92   44  0.39  50  9 42  7.33 10.68 63.94
  149.48   11  1.67     9.14    3  0.02  35 10 55  6.80 10.46 63.24
   76.41   29  2.19    90.80  450 39.86  17  6 76  5.83 10.13 62.51
   28.90   79  2.24   108.82 2079 220.91  51 17 32  5.80 9.98 61.84
  119.53  262 30.60   106.10 1366 141.52  40 15 45  6.45 9.98 61.24
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  157.36  283 43.56    12.60   94  1.16  32  7 60  6.57 9.90 60.61
  147.35  341 49.01     9.30   97  0.88  17  6 76  6.42 9.75 59.96
   49.57  121  5.85   114.11 2155 240.09  60 20 20  6.39 9.64 59.34
   28.41   97  2.68   107.47 2605 273.44  64 22 14  6.34 9.52 58.71
  128.58  349 43.86    52.38  206 10.53  17  7 76  5.67 9.28 58.05
   31.92  103  3.21   100.73 2716 267.21  58 21 21  4.95 9.00 57.38
  141.70  261 36.13   112.01  961 105.15  40 13 48  5.25 8.94 56.80
  149.66  338 49.41     7.58  113  0.84  14  6 81  4.67 8.69 56.15
  129.06  336 42.39     6.38  134  0.84  15  6 80  4.11 8.44 55.50
   73.02  123  8.74   103.20 2335 235.28  53 20 27  4.35 8.34 54.92
   26.36   98  2.52   108.22 2541 268.50  63 22 15  3.91 8.11 54.29
   26.36  105  2.71   107.51 2814 295.46  60 24 16  4.20 8.04 53.73
   24.57  100  2.41   111.23 2752 298.94  62 23 15  4.34 7.94 53.16
   30.58  101  3.01   109.09 2707 288.39  59 22 20  5.23 8.01 52.66
   30.82   99  2.99   106.07 2763 286.22  60 24 16  6.06 8.09 52.16
   26.81   93  2.44   110.94 2709 293.49  62 24 14  6.56 8.14 51.66
   33.93   99  3.29   102.56 2652 265.64  59 23 19  7.55 8.30 51.21
   35.34   84  2.90   108.71 2438 258.78  64 22 14  8.15 8.40 50.75
   30.70  107  3.21   102.51 2893 289.59  60 23 17  8.35 8.44 50.26
   29.12   98  2.79   101.83 2590 257.56  60 21 19  8.92 8.56 49.82
