              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  116.33  101 11.48   270.91   25  6.67  40 10 50  2.30 4.77 59.07
  151.63  857 126.86    10.41   11  0.11  21  9 71  2.10 4.64 58.39
  845.42  153 126.18    14.10    8  0.11  22  9 70  1.93 4.52 57.72
  268.30  486 127.43    19.18    8  0.16  24 10 65  2.24 4.50 57.09
  196.12  473 90.65    19.68   12  0.24  27  9 63  2.05 4.39 56.43
  138.11  858 115.77    13.79    9  0.12  23 10 68  2.27 4.36 55.81
  631.36  170 105.02     8.00   19  0.15  22  8 70  2.07 4.25 55.17
  168.51  749 123.20    14.92   12  0.17  23  9 68  1.99 4.16 54.55
  805.16  169 132.93    13.10    7  0.09  23  9 69  1.84 4.05 53.92
  387.18  301 113.72    21.11    6  0.13  21  8 70  2.32 4.08 53.35
  135.03  806 106.29    61.45   17  1.01  22  9 69  2.20 4.00 52.74
  328.07  429 137.38    18.20    7  0.13  23  9 68  2.31 3.96 52.16
  206.17  528 106.30    18.37    6  0.11  23  9 68  2.33 3.92 51.58
  277.58  499 135.35    11.81   10  0.12  22  9 68  2.12 3.82 50.99
  612.14  210 125.37    10.91    7  0.07  22  9 69  2.17 3.77 50.42
  342.10  373 124.75    15.21    6  0.09  21  9 70  2.14 3.72 49.85
  242.76  540 127.98    14.00    8  0.11  22 10 68  2.12 3.66 49.29
  371.72  302 109.49    10.93    6  0.06  22  9 70  2.18 3.62 48.75
  730.29  129 91.90   586.91   27 15.30  21  8 71  2.15 3.57 48.20
  168.33  450 74.00   729.29   61 43.14  22  9 69  2.79 3.66 47.71
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  261.12  519 132.46    11.72    8  0.10  22  9 69  2.82 3.64 47.19
  771.06  175 131.95    13.48   10  0.14  20  8 71  2.77 3.60 46.67
   65.20  234 14.90   469.73  149 68.31  31 10 59  2.73 3.56 46.15
    6.76  105  0.69   691.32  126 84.98  35 11 55  3.44 3.69 45.70
    7.57   26  0.19   916.35  104 92.66  38  9 52  3.72 3.75 45.23
    7.89  106  0.82   643.54  139 87.18  36 11 53  3.77 3.76 44.75
    7.32   83  0.59   803.14  103 80.91  31  9 60  3.65 3.73 44.26
    6.83   31  0.21   908.64  118 104.58  26  9 66  3.47 3.69 43.77
    6.78   58  0.38   813.11  112 89.13  28 10 62  3.41 3.67 43.29
  197.37  294 56.61   393.68   85 32.75  38 11 51  3.58 3.69 42.84
  405.34  297 117.53    10.02    9  0.09  39 11 50  3.50 3.67 42.37
  172.99  609 102.95    18.47   14  0.25  39 12 50  3.43 3.65 41.91
  476.44  160 74.64   667.17   58 37.83  35 10 54  3.59 3.68 41.47
    6.54   46  0.30   912.58   97 86.67  36 11 54  3.35 3.62 41.01
    6.83   88  0.59   677.53  118 77.97  38 11 52  3.29 3.60 40.57
    7.18   40  0.28   846.21  114 94.50  36 10 53  3.24 3.58 40.13
    8.05   55  0.43   736.04  131 94.15  19  7 73  2.97 3.51 39.68
    8.57  166  1.39   499.28  154 74.88  22  9 69  2.74 3.44 39.23
   12.24   53  0.64   883.41  115 99.52  17  8 75  2.47 3.36 38.78
    9.81   22  0.22   910.11  106 94.10  21  8 71  2.25 3.28 38.34
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    9.46   30  0.28   877.82  115 98.22  20  8 72  2.21 3.24 37.92
    8.70   19  0.17   914.77  115 102.79  20  8 72  2.09 3.18 37.49
    8.68   23  0.19   921.34  123 111.06  18  7 75  2.25 3.18 37.09
    9.18   29  0.26   878.62  116 99.94  15  7 78  2.13 3.12 36.67
    8.11   42  0.33   766.94  121 90.52  19  8 73  2.35 3.13 36.28
   21.78   45  0.96   870.98  128 109.09  19  7 74  2.29 3.10 35.88
    9.14   32  0.29   838.09  118 96.85  17  8 76  2.09 3.03 35.47
    7.42  164  1.19   417.10  214 87.14  18  9 74  1.85 2.94 35.06
    5.38  219  1.15   108.18  347 36.66  10  6 84  2.02 2.94 34.69
    8.91   62  0.54   724.17  128 90.62  16  7 76  1.94 2.90 34.30
    9.28   13  0.12   945.93   92 84.67  16  7 76  1.87 2.85 33.92
    9.19   26  0.24   893.92  113 98.69  15  7 78  1.89 2.82 33.54
   10.92   57  0.60   698.67  135 92.16  16  7 77  1.76 2.76 33.16
   14.29   47  0.65   721.85  131 92.45  15  7 78  1.71 2.72 32.79
   11.52   28  0.31   914.76  112 100.09  14  7 79  1.98 2.74 32.45
    8.83   20  0.17   909.98  102 90.70  16  7 77  1.83 2.69 32.08
   10.89   60  0.63   795.56  108 83.96  17  8 75  1.86 2.66 31.73
  270.98  433 114.65    23.92   10  0.24  18  9 74  2.18 2.71 31.41
  554.32  207 112.04    18.07    8  0.15  18  7 75  2.15 2.68 31.06
  222.57   58 12.60   924.86  101 91.15  15  7 77  2.52 2.74 30.75
