              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  263.71   90 23.23   199.52  366 71.40  33  7 60  3.60 8.66 49.04
   80.22  225 17.64   114.68 1354 151.67  42 12 45  14.61 10.86 49.35
   75.71  241 17.83    67.12  330 21.65  13  5 83  12.51 10.53 48.79
   60.77  224 13.32    87.34 3210 273.80  54 19 28  10.67 10.20 48.22
   67.34  199 13.10   102.95 2786 280.13  54 17 29  20.69 12.37 48.55
   62.96  121  7.45   112.29 3181 348.78  73 20  7  23.51 13.20 48.42
  108.90  244 25.98    91.68 1824 163.27  38 13 48  23.58 13.58 48.14
   45.46  204  9.07    87.62 4519 386.67  68 24  8  31.24 15.56 48.44
   74.03  213 15.40    96.26 3717 349.42  68 22 10  33.01 16.42 48.36
   72.35  248 17.55    71.29 2072 144.23  33 13 54  34.15 17.17 48.25
   64.97  252 15.99    86.09 1159 97.42  27 10 63  28.97 16.62 47.69
   44.87  189  8.27   101.15 3483 344.07  62 20 18  30.19 17.25 47.55
   67.34  194 12.74    96.77 2225 210.30  47 15 38  31.75 18.06 47.48
   63.50  227 14.06    94.33 2959 272.59  53 18 29  29.16 17.97 47.11
   59.90  244 14.30    72.24 2514 177.33  39 15 46  24.98 17.44 46.58
   51.44  231 11.61    81.81 3041 242.97  45 18 37  31.84 19.14 46.84
   54.52  234 12.46    87.58 3146 269.04  53 19 28  40.03 21.34 47.30
   55.23  168  9.07   108.39 3280 347.20  68 20 13  39.78 21.86 47.18
   70.70  175 12.11   102.57 2303 230.66  54 16 29  40.23 22.50 47.11
   67.80  235 15.59    86.85 1859 157.71  36 13 51  46.62 24.46 47.51
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   67.14  167 10.95   111.32 2184 237.46  49 14 37  45.54 24.92 47.40
   63.57  186 11.56   100.11 2826 276.33  56 19 25  44.59 25.43 47.33
   70.51  223 15.36    96.62 1455 137.30  33 11 56  42.46 25.58 47.12
   59.80  176 10.26    96.83 3623 342.59  65 21 14  45.68 26.82 47.31
  104.27  199 20.23    99.54  959 93.20  40 10 50  40.50 26.35 46.90
   65.35  176 11.24   103.87 2489 252.43  53 16 31  42.88 27.34 47.01
   52.34  156  7.95   102.23 4209 420.22  76 24  1  48.27 29.00 47.38
  146.16  167 23.79    44.36  172  7.46  39  6 55  41.09 28.10 46.84
   65.24  153  9.75    96.58 2139 201.80  58 14 28  45.29 29.43 47.09
   57.05  196 10.91   103.43 4206 424.80  76 24  0  50.51 31.06 47.46
  106.11  197 20.42   102.95 1312 131.86  34 11 55  43.34 30.17 46.96
   63.58  208 12.93   105.49 2653 273.26  51 17 32  47.15 31.44 47.21
   62.06  125  7.59   108.80 1536 163.23  63 12 25  45.02 31.47 47.03
   56.70  224 12.39    88.93 3180 276.17  54 18 28  49.16 32.80 47.33
   69.62  220 14.94    87.58 2224 190.18  44 15 41  46.95 32.83 47.17
   62.51  166 10.12   101.38 3249 321.66  63 20 17  45.74 33.00 47.05
  126.92  249 30.82   100.24  879 86.07  23  8 70  43.91 33.05 46.91
   96.07  271 25.41     7.94  145  1.12  13  5 82  42.03 33.04 46.75
  156.15  247 37.64    72.07  177 12.46  15  5 80  35.79 32.00 46.22
   63.33  232 14.37    75.68 1960 144.84  34 12 53  30.68 31.03 45.71
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   47.18  127  5.85   102.67 2966 297.37  81 19  0  35.76 32.12 45.92
   63.28  265 16.38    96.75 2867 270.89  49 16 35  35.86 32.30 45.83
   83.41  281 22.90    42.89  258 10.81  18  7 75  37.38 32.77 45.84
   75.64  200 14.78    80.37  775 60.84  23  7 70  36.11 32.62 45.63
   88.91  163 14.11   114.96 3684 413.64  78 22  0  43.44 34.30 46.07
  140.18  216 29.60    54.00  206 10.88  22  6 72  37.06 33.24 45.56
   51.27   60  2.99   105.13 1430 146.81  87 13  0  43.56 34.74 45.95
   38.88  224  8.49    89.56 4277 374.05  65 24 11  42.84 34.92 45.88
   55.78  179  9.74    97.59 3963 377.66  72 23  5  45.59 35.79 46.06
   71.11  244 16.96    89.99 1348 118.49  33 11 56  50.44 37.16 46.43
   57.59  184 10.37    95.38 3652 340.13  68 21 11  53.35 38.24 46.70
  168.79  215 35.51   100.25  817 79.97  36  9 55  55.28 39.15 46.93
  115.12  231 26.02     7.09  151  1.04  15  4 81  46.93 37.90 46.39
  148.94  271 39.46     6.29  134  0.82  15  5 80  39.95 36.70 45.87
  138.33  237 32.07     7.66   80  0.60   8  3 89  34.03 35.54 45.35
   77.62  120  9.09    96.65  490 46.27  62  9 30  38.95 36.55 45.59
   58.54  164  9.39    99.76 2426 236.38  62 17 21  39.04 36.61 45.51
   56.89  181 10.04    96.87 3604 340.97  68 22 10  43.20 37.59 45.75
   59.01  229 13.17    86.28 2552 215.06  44 16 40  36.71 36.39 45.23
   88.62  172 14.92   109.19 2819 300.56  62 18 20  43.83 37.93 45.67
