              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  187.98   58 10.67   448.46   34 14.75  28  6 66  236.00 182.25 103.06
   27.93  194  5.29    27.90  164  4.48  92  8  0  297.75 196.90 109.17
  316.73   34 10.45   415.61   21  8.40  95  5  0  400.22 222.16 119.15
  309.35   34 10.27   623.06    8  4.68  95  5  0  494.02 248.10 129.56
  582.26   53 30.36   592.28   24 13.94  95  5  0  576.15 273.78 140.06
  607.59   66 38.91   705.94   39 27.15  95  5  0  647.10 298.93 150.55
  764.75   44 33.23   908.25   31 27.32  95  5  0  711.16 324.11 161.21
  284.10  217 60.25   442.92  106 45.67  91  9  0  760.10 347.39 171.38
  169.25  275 45.40   267.43  193 50.30  94  6  0  779.16 365.11 179.73
  227.28  157 34.92   286.89  185 51.75  95  5  0  793.67 381.86 187.84
  461.09   80 36.24   404.92   72 28.62  96  4  0  812.34 399.43 196.34
  526.84   74 38.01   571.07   43 23.75  97  3  0  824.89 415.71 204.49
  256.28  205 51.25   405.74   87 34.51  94  6  0  835.42 431.42 212.53
  291.11  222 63.15   318.33  108 33.65  95  5  0  847.03 447.21 220.69
  283.90  116 32.29   499.39   23 11.21  96  4  0  853.91 461.84 228.53
  414.15   43 17.43   817.64   14 11.50  96  4  0  856.35 475.28 236.02
  336.88  121 39.70   541.57   39 20.57  97  3  0  861.94 489.03 243.70
  333.40  146 47.57   402.26   70 27.65  96  4  0  870.16 503.06 251.54
  359.53  149 52.37   369.61   69 24.83  95  5  0  878.04 516.83 259.37
  530.76   54 27.78   680.89   17 11.64  97  3  0  885.26 530.27 267.15
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  551.17   45 24.32   792.15   18 14.23  97  3  0  890.32 543.04 274.75
  289.78  174 49.18   474.62   54 25.03  95  5  0  894.17 555.30 282.24
  264.06  188 48.42   420.76   78 32.13  95  5  0  897.27 567.13 289.63
  267.37  246 64.20   315.38  128 39.40  94  6  0  900.06 578.57 296.93
  332.80  121 39.21   360.30   49 17.41  96  4  0  903.44 589.87 304.22
  595.04   33 19.06   787.15   13 10.07  97  3  0  911.43 601.91 311.83
  633.06   48 29.42   789.33   17 12.95  97  3  0  917.08 613.30 319.27
  415.97  105 42.68   517.21   51 25.65  97  3  0  923.84 624.75 326.76
  293.49  206 59.09   398.56   87 34.05  95  5  0  929.03 635.71 334.13
  353.97  180 62.18   352.96   79 27.09  95  5  0  929.32 645.46 341.12
  337.16   96 31.53   540.65   23 11.93  96  4  0  928.10 654.57 347.91
  232.74  140 31.85   587.84   26 14.81  96  4  0  933.61 664.75 355.10
  374.31  127 46.34   605.71   45 26.38  95  5  0  937.58 674.45 362.16
  317.21  199 61.75   375.38  108 39.76  94  6  0  939.69 683.57 369.05
  210.15  311 63.85   340.12  132 43.96  93  7  0  942.67 692.65 375.95
  274.11  180 48.21   369.00   71 25.47  95  5  0  946.17 701.64 382.84
  411.40   70 28.12   675.09   21 13.84  96  4  0  946.93 709.86 389.48
  342.87   73 24.44   869.08   18 15.36  96  4  0  947.70 717.83 396.05
  435.50   87 36.94   652.51   31 20.00  96  4  0  946.64 725.17 402.41
  556.15   69 37.31   880.10   21 17.79  96  4  0  948.03 732.75 408.88
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  608.27   52 30.77   935.78   14 13.25  97  3  0  946.22 739.47 415.05
  891.59   26 22.90   984.79   15 14.62  97  3  0  947.76 746.60 421.37
  515.03  104 52.49   580.18   45 25.60  97  3  0  949.83 753.66 427.67
  370.31  175 63.15   430.98   88 36.89  96  4  0  952.64 760.72 433.98
  353.36  201 69.40   383.58   94 35.12  95  5  0  957.01 767.97 440.38
  477.26  117 54.53   433.45   46 19.68  96  4  0  961.05 775.07 446.72
  571.08   48 26.54   712.22   18 12.38  96  4  0  965.19 782.09 453.05
  388.77   91 34.42   430.64   47 19.88  97  3  0  967.53 788.63 459.21
  419.11   82 33.64   515.48   40 19.98  96  4  0  970.52 795.14 465.37
  354.83  109 37.77   505.76   43 21.24  96  4  0  974.62 801.80 471.59
  484.49   43 20.30   779.15   16 11.87  97  3  0  977.86 808.20 477.72
  640.70   40 24.83   927.27   13 11.86  97  3  0  980.09 814.26 483.73
  200.86  187 36.75   438.08   49 21.00  95  5  0  982.00 820.13 489.68
  295.75  161 46.59   466.71   59 26.92  96  4  0  980.28 825.11 495.30
  248.53  211 51.30   344.65   98 33.01  95  5  0  980.58 830.29 501.00
  252.54  189 46.50   361.46   71 25.13  95  5  0  979.24 834.96 506.50
  236.87  124 28.61   525.39   30 15.39  95  5  0  976.83 839.19 511.84
  284.33  121 33.68   578.28   32 18.01  96  4  0  975.14 843.35 517.14
  249.33  184 44.85   437.16   51 21.98  96  4  0  975.23 847.70 522.49
  222.46  161 35.00   478.88   84 39.42  96  4  0  973.59 851.55 527.66
