              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  254.47   79 19.53   179.16  381 66.70  39  7 55  4.89 13.85 94.95
  525.66   17  8.52   143.63  205 28.79  96  4  0  18.82 16.55 94.96
  597.15   16  9.56   192.85  157 29.60  95  5  0  28.25 18.64 94.78
  539.83   22 11.44   207.22  196 39.73  96  4  0  34.73 20.35 94.50
  525.19   13  6.92   193.52  119 22.52  97  3  0  43.73 22.73 94.47
  449.29   15  6.80    98.71  184 17.74  97  3  0  50.61 24.91 94.41
  549.82   23 12.40   130.15  224 28.45  96  4  0  55.66 26.85 94.29
  570.76   16  8.97   121.27  185 21.94  97  3  0  58.26 28.35 94.03
  252.18   39  9.72   131.57  240 30.80  96  4  0  62.40 30.23 93.93
  476.11   25 11.85   108.75  393 41.77  96  4  0  65.06 31.87 93.77
  574.85   13  7.24   126.80  201 24.86  96  4  0  69.35 33.88 93.76
  567.28   13  7.03   156.19  131 19.93  96  4  0  72.90 35.81 93.74
  525.54   20 10.52   141.08  266 36.63  95  5  0  76.12 37.74 93.75
  543.30   13  6.68   137.68  244 32.83  96  4  0  77.47 39.29 93.65
  762.76   12  8.86   174.71  109 18.58  96  4  0  78.78 40.84 93.56
  577.63   17  9.81   181.14  196 34.59  95  5  0  80.22 42.41 93.50
  655.88   20 12.93   165.99  266 43.05  95  5  0  80.08 43.63 93.34
  655.59   15  9.35   161.20  158 24.82  97  3  0  79.55 44.71 93.14
  639.51   21 13.18   151.48  279 41.23  96  4  0  80.58 46.07 93.06
  522.87   11  5.41   256.09   87 21.68  96  4  0  81.72 47.45 93.00
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  629.05   12  7.49   203.16   95 18.78  96  4  0  81.55 48.54 92.85
  656.24   18 11.60   143.56  211 29.59  96  4  0  83.01 49.93 92.82
  443.48   16  6.93   155.50  117 17.78  96  4  0  84.74 51.38 92.84
  116.58   53  6.04    50.37  524 25.79  93  7  0  83.93 52.30 92.68
  428.06   14  5.89   120.94  152 17.90  95  5  0  82.82 53.12 92.50
  337.29   20  6.72    88.23  333 28.68  94  6  0  81.49 53.82 92.29
  390.10   25  9.48    67.42  465 30.60  93  7  0  83.06 55.06 92.28
  131.07   42  5.44   102.42  318 31.81  93  7  0  86.53 56.75 92.44
  635.63   14  8.81   136.54  183 24.44  96  4  0  86.30 57.68 92.35
  561.12   12  6.63   107.40  187 19.64  96  4  0  86.64 58.69 92.31
  570.51   16  9.13   169.36  124 20.54  96  4  0  87.42 59.79 92.30
  596.73   16  9.21   166.17  135 21.94  97  3  0  85.54 60.29 92.10
  567.74   15  8.37   171.83  140 23.48  96  4  0  85.47 61.10 92.02
  571.00   21 11.59   142.44  215 29.95  96  4  0  85.59 61.94 91.95
  669.84   19 12.23   177.72  150 25.96  96  4  0  84.42 62.46 91.79
  735.10   12  8.97   205.81   93 18.65  96  4  0  84.44 63.19 91.70
  540.22   13  6.75   157.62  102 15.68  96  4  0  88.55 64.79 91.94
  676.07   12  7.85   229.77  122 27.30  96  4  0  88.31 65.51 91.88
  576.49   19 10.58   170.04  148 24.62  96  4  0  86.55 65.89 91.70
  472.54   21  9.92   200.59  171 33.51  96  4  0  85.67 66.38 91.58
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  125.55   53  6.52   100.54  328 32.17  93  7  0  86.64 67.21 91.57
  534.92   17  9.09   170.25  157 26.15  96  4  0  88.16 68.17 91.63
  506.19   23 11.27   136.33  229 30.49  96  4  0  91.16 69.47 91.82
  464.43   22 10.15   200.07   59 11.62  97  3  0  90.81 70.11 91.78
  339.81   74 24.72    10.68   42  0.44  96  4  0  89.67 70.55 91.69
  392.66   69 26.30    10.05   37  0.36  97  3  0  88.91 71.03 91.61
  358.56  105 36.62    10.93   51  0.54  97  3  0  87.49 71.31 91.47
  367.01  120 43.00     9.59   59  0.55  97  3  0  85.97 71.51 91.30
  375.24  113 41.29    10.14   38  0.38  97  3  0  85.95 71.99 91.24
  333.78   87 28.22    10.58   32  0.33  97  3  0  85.59 72.36 91.15
  512.93   58 29.09    10.15   28  0.28  97  3  0  86.61 73.03 91.16
  352.80  125 43.17    11.41   59  0.66  97  3  0  85.91 73.32 91.06
  381.54   89 33.02     9.95   42  0.41  97  3  0  86.61 73.89 91.05
  285.84  133 37.24     8.62   53  0.44  97  3  0  85.78 74.13 90.94
  321.96   96 30.12     8.64   82  0.69  97  3  0  83.99 74.13 90.74
  307.54   67 20.00     9.17   14  0.12  97  3  0  86.49 74.98 90.85
  360.65  110 38.70     8.71   71  0.61  97  3  0  87.01 75.48 90.84
  326.25  142 45.24     7.28  129  0.92  97  3  0  84.71 75.36 90.62
  348.78   93 31.78     7.63  103  0.77  97  3  0  85.86 75.91 90.63
  320.29   75 23.52     6.92   82  0.56  97  3  0  86.31 76.34 90.61
