              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  224.10  139 30.43   161.35   45  7.15  16 15 69  2.52 2.36 2.20
  833.20  370 300.69   746.62   79 57.63  49 26 25  3.31 2.54 2.27
  841.22  408 335.41   664.68   71 46.05  53 27 19  5.00 2.93 2.41
  772.50  374 282.44   740.99   91 65.90  42 22 36  5.98 3.20 2.51
  735.51  293 210.32   823.56  114 91.34  36 20 44  6.57 3.42 2.60
  851.56  434 361.21   677.75   82 54.20  51 27 22  7.03 3.62 2.68
    7.35   35  0.25   937.39  163 149.06  24 15 61  6.72 3.67 2.70
  702.55  194 132.91   860.35  114 95.79  38 20 42  6.15 3.64 2.70
  714.65  362 252.87   732.29   86 61.17  46 23 31  12.96 5.24 3.28
    6.83   16  0.11   843.59   43 35.31   9  7 84  11.35 5.15 3.27
    6.95   34  0.23   816.79  132 104.95  18 10 72  10.06 5.08 3.27
    5.59   37  0.20   917.75  160 143.57  23 14 62  9.07 5.03 3.27
    5.51   37  0.20   951.41  159 147.97  24 15 60  8.20 4.97 3.27
    6.26   18  0.11   943.41  163 149.77  24 14 62  7.24 4.88 3.26
    6.76   54  0.35   911.36  158 140.39  22 13 65  6.88 4.88 3.28
  460.97    2  0.88   684.66    1  0.57  11  8 82  5.90 4.73 3.25
  803.59  450 353.19   626.82   74 45.53  53 28 20  7.28 5.07 3.38
    8.53   54  0.45   900.28  156 137.46  23 15 62  6.69 5.02 3.38
    6.26   19  0.12   934.69  165 150.69  20 12 68  6.12 4.95 3.38
    6.67   21  0.14   937.74  164 149.76  24 14 61  5.88 4.94 3.39
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.36   31  0.22   931.28  160 145.17  20 12 68  5.52 4.89 3.39
  637.55   91 56.84   914.83  149 133.54  26 15 60  4.67 4.73 3.35
  849.13  457 379.11   590.41   57 32.75  55 28 17  5.71 4.95 3.45
  849.28  519 430.62   385.61   46 17.24  59 30 11  7.28 5.31 3.59
  829.79  316 256.37   802.56  100 78.58  45 24 32  6.79 5.27 3.60
    7.92   15  0.12   951.27  159 147.77  22 13 64  6.52 5.26 3.61
  822.90  506 406.67   404.42   42 16.58  59 30 11  7.21 5.45 3.70
  874.12  320 273.29   762.78   92 68.35  46 24 31  7.35 5.53 3.75
   61.92   36  2.16   945.83  160 147.59  24 14 61  6.61 5.43 3.73
  836.66  541 442.16   369.07   45 16.07  59 30 12  7.97 5.76 3.87
  863.86  457 385.69   462.60   40 18.29  62 30  8  7.79 5.79 3.90
  878.79  352 302.04   734.08   79 56.82  47 24 29  8.18 5.93 3.97
  373.07   30 10.78   938.64  149 136.81  24 14 62  7.67 5.90 3.98
   59.31   19  1.11   952.95  153 142.04  19 12 69  6.72 5.75 3.96
  907.42  491 435.07   479.88   54 25.12  59 30 11  8.37 6.14 4.11
  805.86  213 167.26   858.43  106 88.50  37 20 43  8.12 6.17 4.15
    7.11   15  0.10   939.24  158 145.18  22 13 65  7.25 6.04 4.13
  867.72  311 263.66   755.56   79 58.65  50 25 25  7.40 6.11 4.17
  814.56  434 345.15   635.02   60 37.38  55 28 18  8.80 6.45 4.31
  875.45  244 208.85   816.69   94 75.10  42 22 36  8.95 6.55 4.38
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  838.80  215 175.93   858.49  107 89.69  38 20 42  8.61 6.57 4.41
  852.24  463 385.23   476.37   45 20.98  57 29 14  9.30 6.79 4.51
  836.92  205 167.44   847.85  114 94.21  35 19 46  8.90 6.78 4.53
  803.68   84 65.74   910.06  141 125.43  27 15 58  8.36 6.74 4.54
  871.70  446 379.92   491.60   46 22.12  57 29 15  9.22 6.98 4.65
  361.96   20  7.21   939.53  153 139.98  19 12 69  8.17 6.83 4.63
  848.54  415 344.29   604.40   60 35.29  55 28 18  9.76 7.21 4.79
  860.74  475 398.96   493.24   51 24.41  55 28 16  11.12 7.58 4.95
  867.77  217 183.50   852.38  105 87.79  37 20 43  10.82 7.63 5.00
  855.41  338 282.05   749.57   71 52.33  49 25 27  10.19 7.61 5.02
  896.77  374 327.24   663.23   72 46.50  51 26 23  9.81 7.62 5.05
    8.89   26  0.23   943.14  149 137.43  20 12 69  8.38 7.38 5.00
    4.00    1  0.01   932.60  151 137.64  18 11 71  7.24 7.17 4.95
  851.25  430 357.59   615.46   67 40.08  52 27 21  7.33 7.20 4.99
    8.32   29  0.23   944.58  151 139.05  22 14 64  6.52 7.03 4.95
  820.99  187 150.17   877.47  118 101.32  34 19 46  6.15 6.93 4.94
  811.23  318 252.02   782.38   91 69.80  43 22 34  6.33 6.94 4.97
   10.73   10  0.10   945.96  151 139.39  20 12 68  5.58 6.76 4.93
  833.46  120 97.87   903.43  118 104.14  34 19 48  6.06 6.82 4.97
  784.57  461 353.04   632.07   62 38.02  53 28 19  6.47 6.89 5.02
