              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  253.09   91 22.40   175.89  434 74.56  35  7 58  45.16 275.15 239.09
  442.86    1  0.30   873.78    8  6.91  20  2 78  38.53 266.15 236.32
   93.85    5  0.49   279.72   27  7.37  20  2 77  32.98 257.47 233.59
  514.00    0  0.10  1024.00    3  3.30  19  2 80  28.21 249.06 230.88
  684.00    0  0.20  1003.60    5  4.90  19  2 79  24.03 240.89 228.19
  117.14    2  0.24   379.32   13  4.81  19  2 79  20.71 233.04 225.56
  208.00    0  0.10   890.96    2  2.00  19  2 79  17.68 225.40 222.93
  412.00    0  0.20   972.14    6  5.60  20  2 79  15.27 218.04 220.35
   79.30    5  0.36   214.82   19  3.99  21  2 77  13.24 210.93 217.80
   35.28   22  0.77    16.72  660 10.77  30  8 62  11.89 204.13 215.31
   12.88   50  0.63    38.90  211  8.03  27  6 67  10.68 197.54 212.84
   18.98   86  1.59    43.28  240 10.15  32  5 63  9.34 191.10 210.37
   53.52    5  0.26   374.85   28 10.39  21  3 77  8.21 184.87 207.94
   58.67    2  0.12   528.92   14  7.38  22  3 75  7.49 178.90 205.55
   54.02   10  0.52   123.40   51  6.11  22  3 75  6.56 173.06 203.16
   17.60    1  0.03    38.17   18  0.67  22  3 76  5.87 167.43 200.81
  211.69    3  0.54   218.55   42  8.92  22  3 75  5.12 161.95 198.48
   26.07   24  0.60    53.72   83  4.38  22  2 75  4.64 156.68 196.18
  324.40    1  0.32   478.45   19  8.78  20  2 77  4.23 151.58 193.91
    4.47    2  0.01   125.71   26  3.25  21  2 77  3.89 146.66 191.67
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   34.50    6  0.22   159.35   39  6.05  20  2 79  3.60 141.90 189.45
  822.83    2  1.93   533.41   20 10.52  20  2 78  3.42 137.30 187.27
    4.00    1  0.00   282.40   13  3.58  21  2 77  3.21 132.85 185.10
   40.47    7  0.27    89.73   32  2.83  21  2 77  3.09 128.56 182.97
   80.00    2  0.12   309.62   24  7.26  21  2 76  3.00 124.41 180.86
   62.74    2  0.12   461.63   18  7.98  23  2 75  2.92 120.39 178.77
   41.62    5  0.19   292.83   25  7.26  23  3 74  3.15 116.57 176.74
   90.15    3  0.23   416.15   16  6.54  20  2 78  3.05 112.82 174.70
  214.40    0  0.10   848.28    6  4.80  19  1 80  2.74 109.14 172.67
   16.87    5  0.08   229.83   20  4.51  19  1 80  2.68 107.36 171.67
  290.18    1  0.31   537.15   10  5.45  19  1 80  2.57 103.89 169.69
  344.00    1  0.20   888.53    6  5.21  19  1 80  2.48 100.53 167.73
   63.40    4  0.25   375.00   17  6.15  19  1 80  2.41 97.29 165.79
  169.71    1  0.12   276.48   13  3.59  19  1 79  2.19 94.12 163.86
  259.00    0  0.10   868.24   10  8.31  19  1 80  2.48 91.15 162.00
   56.33    2  0.13   334.26   17  5.71  19  1 79  2.40 88.21 160.13
  350.67    1  0.21   849.85    8  6.80  19  1 80  2.42 85.39 158.28
    4.00    0  0.00   971.69    4  3.70  20  1 79  2.36 82.64 156.46
   43.72    4  0.18   158.69   24  3.75  19  1 80  2.30 79.99 154.65
  368.00    0  0.11   416.86    6  2.65  19  1 80  2.18 77.40 152.86
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  164.31    1  0.21   752.55    9  6.91  19  2 79  2.07 74.90 151.09
   34.63    3  0.12   284.98   18  5.12  19  2 79  2.06 72.50 149.35
  769.00    0  0.30   946.63    8  7.30  19  1 80  2.06 70.18 147.63
  135.50    1  0.11   684.14    6  3.81  19  1 80  1.97 67.92 145.92
    8.30    4  0.03   279.35   20  5.54  19  1 80  2.21 65.80 144.26
   42.00    0  0.01   995.73    7  7.29  19  1 80  2.18 63.69 142.59
  208.00    0  0.10   831.05    4  3.41  19  1 80  2.22 61.68 140.95
   14.86    3  0.04   256.68   23  5.89  19  1 80  2.19 59.71 139.33
   10.67    1  0.01   422.73    2  0.91  19  1 80  2.31 57.84 137.74
  413.60    1  0.40   896.45    8  7.00  20  2 79  2.34 56.02 136.16
   61.56    4  0.22   307.01   25  7.52  20  2 78  2.21 54.23 134.58
  253.52    2  0.52   748.69   13  9.80  20  2 79  2.18 52.51 133.03
  259.00    1  0.30   883.22    9  7.50  20  2 78  2.15 50.84 131.50
   82.15    4  0.33   197.65   28  5.44  19  1 80  2.05 49.22 129.98
  154.86    1  0.11   720.07    6  4.01  20  2 79  2.44 47.75 128.52
   44.04   11  0.47    97.29   76  7.22  27  5 68  2.37 46.24 127.04
   63.57   22  1.37    66.77  116  7.59  34  5 61  2.63 44.85 125.60
   66.33    6  0.39   250.84   36  8.94  21  2 76  2.38 43.40 124.14
  118.22    1  0.10   762.98    4  3.20  21  2 77  2.25 42.02 122.71
    7.26    4  0.03   320.19   25  7.72  22  2 76  2.37 40.74 121.31
