              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   33.93  169  5.59    59.69   52  3.01  22 21 58  72.73 58.84 27.87
  933.66    6  5.93     9.00    0  0.00  18  2 81  62.31 57.07 27.60
   41.25   19  0.75    26.77    1  0.03  18  2 80  53.03 55.26 27.31
  357.93   29 10.00    20.39   14  0.29  18  2 79  45.25 53.52 27.01
  865.61   10  8.62    20.00    1  0.01  19  2 79  38.60 51.82 26.72
  945.18   10  9.69    17.50    1  0.01  18  2 80  33.05 50.20 26.44
  312.18   15  4.66     4.93    3  0.01  19  2 79  28.19 48.59 26.15
  496.65   20  9.80     8.50    1  0.01  18  2 81  24.09 47.04 25.86
  311.06   29  8.96   101.23    1  0.13  17  2 81  20.69 45.56 25.58
  356.82   35 12.20     6.89    2  0.01  18  2 79  17.90 44.14 25.31
  321.12   36 11.29    20.67    1  0.01  18  2 80  15.53 42.77 25.04
  122.87  100 12.01    13.09   11  0.15  22  4 74  13.67 41.48 24.79
   31.75  229  7.10    12.44   83  1.01  31  7 62  12.74 40.82 24.66
  390.90   34 13.17    16.22    4  0.06  21  3 76  11.09 39.54 24.39
  311.21   23  7.11    18.32    4  0.07  19  3 78  9.54 38.27 24.12
  332.71   53 17.11    74.10   10  0.74  20  3 77  8.46 37.09 23.86
  444.52   35 15.06   593.38    3  1.85  18  2 79  7.47 35.94 23.61
  759.87   12  9.20     4.00    1  0.00  18  2 80  6.47 34.79 23.34
  219.46   39  8.36    16.69    7  0.12  19  2 79  5.71 33.69 23.09
  408.21   23  9.25    23.38    1  0.03  19  2 79  5.72 32.78 22.89
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  947.96    9  8.42    11.20    0  0.01  18  2 79  5.07 31.75 22.64
  422.74   36 14.90    30.04    5  0.14  19  2 79  4.52 30.75 22.39
  322.58   21  6.68     4.29    1  0.01  19  2 79  3.98 29.77 22.14
  340.07   30  9.93    24.00    2  0.04  19  3 79  3.67 28.85 21.90
  298.93   25  7.33    27.46    4  0.10  18  2 79  3.26 27.94 21.66
  730.94   26 18.34    25.09    1  0.03  19  2 79  3.06 27.08 21.43
  338.02   31 10.20    36.92    1  0.05  19  3 79  2.74 26.22 21.19
  200.20   27  5.20    23.65    5  0.11  18  2 80  2.47 25.39 20.95
  915.39   13 11.80    10.00    0  0.00  19  2 79  2.40 24.62 20.73
  442.13   15  6.48     5.82    1  0.01  19  2 78  2.59 23.92 20.53
  522.07   23 11.83    15.20    3  0.04  18  2 80  2.42 23.19 20.31
  642.00   12  7.40     6.40    0  0.00  18  2 80  2.58 22.54 20.11
  417.09   51 20.89    13.74    2  0.03  19  3 79  2.57 21.88 19.90
  477.38   27 12.40    18.38    3  0.06  19  3 78  2.78 21.29 19.72
  342.62   53 17.80   259.04    2  0.63  18  3 79  2.81 20.68 19.52
  198.70   62 12.09     8.84    2  0.02  18  2 80  3.00 20.13 19.34
  515.33   36 18.21    15.69    3  0.04  18  2 80  2.84 19.54 19.13
  506.18   18  8.80     5.00    0  0.00  18  2 80  2.63 18.94 18.93
  348.76   60 20.50    14.61    5  0.07  20  3 77  2.60 18.40 18.74
  230.48   82 18.37    22.28   16  0.34  20  3 76  2.58 17.88 18.55
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  242.51   66 15.56   164.65   11  1.77  18  2 80  2.41 17.34 18.35
  489.27   22 10.51    16.50    2  0.04  17  2 81  2.59 16.88 18.17
  305.02   14  4.32    11.37    2  0.02  17  2 81  2.42 16.37 17.98
  764.63   17 12.39    10.22    1  0.01  17  2 81  2.35 15.90 17.79
  451.15   23 10.30    14.00    1  0.01  17  2 81  2.29 15.44 17.60
  224.28   30  6.64    17.11    5  0.09  18  2 80  2.57 15.07 17.44
  569.23   30 16.78    28.31    1  0.04  17  2 81  2.55 14.65 17.27
  519.07   18  8.92    16.80    0  0.01  17  2 81  2.47 14.23 17.09
  248.17   43 10.42    12.80    4  0.06  17  2 81  2.24 13.80 16.90
  970.32    4  3.60     4.00    0  0.00  17  2 81  2.20 13.41 16.73
  589.36   22 12.89     9.09    1  0.01  17  2 81  2.10 13.02 16.55
  121.21   18  2.11     5.28    2  0.01  17  2 81  1.93 12.62 16.37
  377.03   10  3.87    13.50    1  0.01  17  2 81  1.86 12.25 16.19
  963.61    5  4.80    10.00    0  0.00  17  2 81  1.80 11.90 16.02
  529.49   25 13.18     6.45    3  0.02  17  2 81  1.83 11.57 15.86
  471.29   31 14.17    29.60    1  0.03  17  2 81  1.86 11.26 15.69
  302.18   40 11.89    12.00    1  0.01  17  2 81  1.96 10.97 15.54
  282.19   49 13.38    13.12    4  0.05  20  3 77  2.04 10.69 15.39
  857.55    8  6.70    14.67    1  0.01  17  2 81  2.10 10.42 15.23
  495.45   12  6.00    10.00    0  0.00  17  2 81  2.16 10.16 15.09
