              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  160.95   79 12.37   464.10   51 23.23  27  8 65  1.17 1.31 2.44
  535.92   16  8.22    22.67    2  0.05  19  2 79  1.44 1.37 2.45
  258.74   18  4.57    15.93    6  0.09  18  2 79  1.61 1.41 2.45
  412.78   11  4.35    28.80    1  0.03  18  2 80  1.67 1.42 2.44
  674.58   13  8.56    24.73    1  0.03  18  2 80  1.96 1.49 2.45
  344.43   14  4.71     8.15    3  0.02  18  2 80  2.28 1.58 2.47
  230.72    8  1.76     4.00    1  0.01  19  2 79  2.32 1.61 2.47
  463.49   18  8.24    28.29    1  0.04  18  2 80  2.19 1.60 2.46
  312.76   15  4.52    11.33    2  0.03  18  2 80  2.08 1.60 2.45
  232.04   44 10.08    36.47   10  0.36  18  2 80  1.91 1.58 2.43
   60.04  177 10.37    23.17   52  1.18  19  3 78  2.07 1.62 2.43
   85.66   33  2.74    19.43   13  0.24  19  2 79  1.99 1.62 2.42
  564.52   27 14.77    19.00    4  0.07  18  2 80  1.99 1.63 2.42
  345.84   41 13.74    27.64    4  0.12  18  2 79  1.99 1.64 2.41
  266.86   13  3.39    42.69    5  0.22  18  2 80  2.06 1.67 2.41
    9.64  334  3.15     7.85    8  0.06  18  3 79  1.98 1.66 2.40
  301.71   19  5.72    14.32    2  0.03  18  2 80  2.05 1.69 2.40
  434.51   19  8.10    15.54    3  0.04  18  2 80  1.96 1.68 2.39
  496.38   18  8.67    11.00    1  0.01  18  2 80  1.81 1.66 2.38
  531.64    8  4.05    28.00    0  0.01  18  2 80  2.50 1.82 2.42
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  324.27   17  5.54    12.11    4  0.04  18  2 80  2.59 1.86 2.43
  668.83   12  7.84   712.84    2  1.32  18  2 80  2.42 1.85 2.42
  660.84   14  9.23    30.91    1  0.03  18  2 80  2.35 1.85 2.41
  370.82   23  8.36    11.02    5  0.05  18  2 80  2.44 1.89 2.42
  773.47   16 11.93   692.00    2  1.62  18  2 80  2.38 1.89 2.41
  767.26   13  9.74    23.00    1  0.02  18  2 80  2.32 1.89 2.41
  615.36   16  9.43    15.40    2  0.03  18  2 80  2.19 1.88 2.40
  790.97   18 14.13    15.76    2  0.03  18  2 80  2.16 1.88 2.39
  672.09    9  6.04    25.00    1  0.02  18  2 80  2.14 1.89 2.39
  118.41   20  2.27     8.34    5  0.04  18  2 81  2.20 1.91 2.39
 1023.20    4  4.50    13.33    0  0.00  18  2 80  2.17 1.91 2.38
  100.52  123 12.04     6.16   24  0.14  20  3 77  2.22 1.93 2.38
   26.18  377  9.63    23.98   34  0.80  27  5 69  2.18 1.93 2.38
   15.65  370  5.65     5.00   29  0.14  28  6 66  2.46 2.00 2.40
  648.77   13  8.23    10.50    1  0.01  23  4 73  2.47 2.02 2.40
  355.56   17  6.00    67.46    4  0.24  18  2 81  2.64 2.06 2.41
  385.70   34 12.69     6.09   62  0.37  19  2 79  2.54 2.06 2.41
  153.12   13  1.91     9.65    2  0.02  18  2 80  2.45 2.06 2.40
  487.84   15  7.00   285.84    4  1.03  18  2 80  2.38 2.06 2.40
  433.40   17  7.36     5.83    9  0.05  18  2 80  2.48 2.09 2.40
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  579.84   28 15.96    27.06    2  0.04  18  2 80  2.63 2.13 2.42
  270.39   38  9.95   138.00    8  1.08  18  2 79  2.46 2.11 2.41
  375.12    8  2.81    28.50    1  0.02  18  2 80  2.39 2.11 2.40
  641.71   26 16.58   234.67    3  0.69  18  2 80  2.25 2.09 2.39
  506.69   24 11.91   220.74    4  0.93  18  2 80  2.21 2.08 2.38
  792.08   15 11.82    23.33    1  0.03  18  2 80  2.11 2.06 2.37
  844.90    4  3.30     4.00    0  0.00  18  2 80  2.17 2.08 2.38
  344.47   15  5.11     9.33    3  0.03  18  2 80  2.53 2.16 2.40
  574.49    7  4.15    20.00    0  0.01  18  2 80  2.53 2.17 2.40
  768.85   12  9.23    21.60    1  0.02  18  2 80  2.45 2.16 2.40
  392.85   12  4.49     9.33    1  0.01  18  2 80  2.46 2.17 2.40
  687.27    9  6.24    23.33    1  0.01  18  2 80  2.39 2.17 2.39
  479.25    5  2.25    44.00    0  0.01  18  2 80  2.33 2.16 2.39
  407.84   20  8.00    10.36    4  0.04  18  2 80  2.28 2.16 2.38
  784.51   17 13.24   603.27   11  6.47  21  3 76  2.31 2.17 2.38
  396.20   31 12.19   381.38    6  2.38  18  2 80  2.26 2.16 2.38
  360.90   33 11.49   106.48    7  0.74  18  2 80  2.07 2.12 2.36
  545.16    8  4.05    30.40    0  0.01  18  2 81  2.28 2.17 2.37
  923.09   12 11.08    26.67    1  0.02  18  2 80  2.23 2.16 2.37
  531.30   28 14.53    10.63    4  0.04  18  2 80  2.12 2.14 2.36
