              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  163.20   89 14.16   452.54   48 21.00  31  9 60  3.41 3.92 4.44
   50.89   10  0.50   935.08  128 117.02  34 10 57  3.12 3.84 4.40
   71.54    3  0.24   893.30  137 119.85  22  6 72  3.47 3.90 4.42
   35.14   17  0.59   818.39  136 108.72  24  7 69  3.25 3.83 4.39
   29.30   11  0.31   939.90  131 119.96  23  7 69  2.98 3.76 4.35
   76.83    6  0.47   929.29  129 117.30  21  6 73  2.76 3.68 4.32
   35.67    7  0.25   910.50  134 119.56  19  7 74  2.96 3.69 4.31
   17.80   17  0.29   892.23  132 114.73  21  7 72  2.81 3.64 4.29
   44.11    7  0.30   919.55  132 118.92  18  6 76  3.14 3.68 4.30
   10.99   20  0.22   929.75  125 113.83  21  7 72  3.75 3.79 4.33
   40.91    2  0.09   801.99  149 117.04  25  8 67  4.22 3.90 4.36
   11.45    9  0.11   932.26  131 118.87  28  8 64  3.96 3.85 4.33
   12.38   30  0.37   937.07  125 114.20  30  8 62  3.88 3.84 4.32
   11.38    7  0.08   923.39  132 119.00  27  8 65  3.88 3.84 4.32
   25.31    6  0.14   911.50  132 117.88  25  7 68  4.06 3.88 4.33
   11.62   19  0.21   913.15  124 110.70  18  6 76  3.67 3.80 4.29
   12.40    7  0.08   759.53  156 116.06  18  7 75  3.79 3.82 4.30
   14.09   22  0.30   920.36  126 112.95  21  7 72  3.89 3.84 4.30
   12.50   15  0.18   937.13  125 114.09  28  7 65  3.61 3.78 4.27
   14.80    9  0.13   874.73  136 116.29  26  8 66  3.51 3.76 4.26
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   11.77   17  0.20   858.30  133 111.84  23  8 69  3.43 3.73 4.24
   16.56   23  0.37   829.85  131 106.20  19  7 75  3.27 3.69 4.22
   12.40    8  0.10   866.93  139 117.58  24  8 69  3.22 3.67 4.20
   16.23   12  0.19   940.24  128 117.68  24  8 68  3.74 3.76 4.23
   12.86   22  0.28   885.88  128 110.94  30  9 61  3.39 3.69 4.20
   12.59    6  0.07   907.16  129 114.32  24  7 68  3.57 3.71 4.20
   16.10    8  0.12   909.52  127 112.96  25  8 68  3.40 3.67 4.18
   13.36   21  0.28   895.89  125 109.48  25  8 67  3.41 3.67 4.17
   17.52    6  0.11   911.47  130 116.01  24  8 69  3.12 3.59 4.14
  870.43  206 174.78   851.98  131 108.87  65 19 16  5.71 4.13 4.33
  825.83  296 238.71   714.92   98 68.60  76 21  3  16.72 6.53 5.17
  893.96  339 295.56   700.23   56 38.55  80 20  0  25.14 8.67 5.95
  860.66  297 250.00   709.55   49 34.14  79 21  0  33.18 10.94 6.78
  791.41  168 129.77   869.30   99 84.34  58 14 28  34.20 11.52 7.01
    6.93   25  0.17   926.74  124 112.54  25  8 67  29.32 11.22 6.96
    9.63   11  0.11   908.23  129 114.46  20  8 72  25.34 10.97 6.92
   30.79   69  2.08   656.29  155 99.03  23  8 70  21.90 10.70 6.87
   10.03   13  0.13   892.09  127 110.78  24  8 68  18.85 10.42 6.82
   14.40    7  0.11   940.92  124 114.36  24  7 69  16.49 10.19 6.78
    7.44   33  0.24   820.57  131 104.80  21  7 73  14.51 9.97 6.74
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   10.95   17  0.18   902.51  131 115.05  27  8 65  12.73 9.74 6.69
    8.04    9  0.07   920.56  125 112.24  21  7 72  11.01 9.47 6.63
    7.61   17  0.13   915.93  125 111.51  21  7 72  9.77 9.25 6.59
    6.34   12  0.08   885.59  135 116.55  24  9 67  8.67 9.03 6.54
   10.67   11  0.11   910.88  128 113.53  20  7 73  8.50 8.98 6.55
    7.32   41  0.29   851.17  128 106.35  21  7 72  7.50 8.75 6.50
    6.24   15  0.09   926.99  127 114.55  26  8 67  6.58 8.51 6.44
    9.75    6  0.06   945.29  124 114.07  27  8 65  6.19 8.36 6.41
   10.39    7  0.07   919.17  126 113.43  28  8 64  5.77 8.20 6.38
    9.52   25  0.23   873.76  128 109.29  26  7 66  5.12 7.98 6.32
   12.55   13  0.16   915.02  128 114.23  22  7 71  4.79 7.82 6.28
    9.76   15  0.14   865.64  128 108.33  20  7 73  4.61 7.68 6.25
   10.59   12  0.13   890.86  130 112.81  25  7 68  4.21 7.49 6.20
   10.42   14  0.14   925.46  127 114.49  25  8 67  3.72 7.27 6.14
    9.99   34  0.33   914.86  123 109.68  24  7 69  3.52 7.12 6.09
    8.27    3  0.02   906.37  133 117.70  27  8 65  3.29 6.95 6.04
    8.98   18  0.16   927.96  123 111.05  23  7 70  3.17 6.80 6.00
    8.66   27  0.23   825.59  134 107.78  19  6 75  4.59 6.97 6.07
   10.77   30  0.31   907.69  122 108.37  20  6 74  4.11 6.79 6.02
    9.58   10  0.09   905.38  128 112.90  25  8 67  4.08 6.70 5.99
