              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  415.03  135 54.78   540.78   61 32.34  22 16 62  6.34 7.77 6.82
   11.13   11  0.12   988.10  108 104.58  26 12 61  12.82 9.16 7.33
   40.84   27  1.06   904.77  112 98.64  16  9 75  12.22 9.16 7.35
   81.36   11  0.91   964.33  105 98.94  19 11 71  10.80 8.95 7.30
  608.44    3  1.60   919.15  109 97.89  14  8 78  9.44 8.72 7.23
   29.16   42  1.19   922.34  108 97.00  16  9 75  8.61 8.57 7.20
   10.09   23  0.23   836.76  118 96.80  18 10 73  7.36 8.30 7.12
   10.41   12  0.12   938.20  109 99.90  15  9 75  6.85 8.16 7.08
  788.45  266 205.16   853.53  114 94.84  41 20 39  6.35 8.01 7.04
  838.01  176 143.91   852.58  115 95.47  35 18 47  5.97 7.87 7.00
  701.97  184 126.18   868.90  110 93.49  33 17 49  5.67 7.74 6.97
   44.07   41  1.79   938.77  103 94.70  17 10 73  6.39 7.83 7.01
  151.79    8  1.13   857.94  107 89.62  13  8 80  5.41 7.58 6.92
   72.72   36  2.53   833.39  101 81.90  11  7 83  4.96 7.41 6.87
  746.79    3  2.41   900.72  111 97.71  12  8 80  4.96 7.33 6.85
   42.66   18  0.77   903.99  112 98.86  14  9 77  4.27 7.10 6.78
   44.02   47  2.01   906.65  108 96.01  14 10 76  3.85 6.92 6.71
   99.94   27  2.66   915.22  107 95.65  14  9 77  3.73 6.79 6.67
  169.05   15  2.52   934.53  105 95.50  16 10 74  3.30 6.60 6.60
  601.82   46 26.85   932.12  105 95.35  16 10 74  2.94 6.41 6.54
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  791.18  274 212.06   838.49  114 93.50  46 22 32  4.20 6.58 6.59
  745.02  192 139.95   857.11  111 93.30  33 18 50  3.95 6.44 6.55
  735.68  131 93.89   881.94  109 93.70  35 18 48  5.03 6.59 6.60
   63.58   29  1.83   946.78  103 95.47  18 10 72  4.48 6.42 6.54
   96.16   15  1.43   910.44  108 95.65  12  7 80  3.95 6.24 6.47
  172.58   20  3.37   912.81  108 96.62  12  7 81  3.65 6.10 6.42
  103.41   26  2.65   871.00  110 93.51  11  7 81  3.48 5.98 6.37
  107.32   19  1.96   940.58  102 93.49  14  8 78  3.48 5.90 6.34
  413.60    2  0.81   925.73  111 99.94  14  8 78  4.60 6.07 6.39
   75.90   25  1.85   923.49  103 93.30  13  8 79  4.20 5.93 6.34
   65.68   14  0.92   926.75  106 96.18  14  8 78  3.87 5.80 6.29
  413.60    2  0.81   923.45  107 96.47  14  9 77  3.57 5.68 6.24
  738.50  280 201.92   847.88  109 90.24  41 21 38  5.93 6.13 6.39
  838.37  204 166.91   851.63  111 92.55  38 20 42  7.18 6.39 6.48
  826.49   91 73.76   891.74  107 92.81  26 14 60  6.31 6.23 6.42
   67.85   33  2.19   943.26  102 93.65  16  9 74  5.41 6.04 6.35
  121.17   19  2.27   932.84  104 94.43  13  8 79  4.97 5.92 6.31
  119.73   20  2.40   931.01  105 95.06  13  8 80  4.36 5.76 6.25
   70.94   27  1.86   932.89  100 90.97  12  8 81  3.77 5.58 6.18
  781.14    4  3.20   928.20  103 93.60  12  7 81  3.57 5.48 6.13
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   77.75   35  2.69   949.65  101 93.47  16 10 75  3.48 5.40 6.10
   40.02   25  0.98   935.13  100 91.41  13  8 79  3.18 5.27 6.04
   68.88   25  1.71   905.60  102 90.28  12  8 81  2.99 5.16 6.00
  684.89    4  2.41   937.51  102 93.25  14  9 77  3.23 5.14 5.98
  658.10  328 211.03   823.71  108 86.60  41 21 38  3.26 5.09 5.95
  877.23  157 134.87   869.26  104 88.59  31 17 52  2.99 4.97 5.90
  691.60  189 127.34   821.88  106 85.05  32 17 51  3.06 4.92 5.87
   54.83   49  2.60   911.12  100 88.68  15  9 76  3.14 4.90 5.86
  566.97    3  1.72   937.74  102 93.27  13  8 79  2.96 4.81 5.81
  117.93   27  3.15   940.12  101 92.79  11  7 82  2.74 4.70 5.76
   77.95   45  3.41   909.97  103 91.31  12  7 81  2.87 4.66 5.73
  104.11   25  2.58   942.37  100 91.98  13  8 80  2.65 4.55 5.68
  631.69    3  1.60   916.29  104 92.94  13  8 79  2.62 4.49 5.64
   38.98   28  1.07   917.33  100 90.02  14  9 77  2.22 4.34 5.58
   77.12   23  1.77   940.39  100 92.01  13  8 79  2.42 4.31 5.55
  102.99   17  1.72   935.46   98 89.84  18 11 70  2.27 4.22 5.51
   56.31   22  1.19   897.58  106 92.88  12  8 80  1.99 4.09 5.45
   68.43   14  0.92   932.40  100 90.74  14  9 78  2.39 4.11 5.44
    4.57    6  0.02   930.20  105 95.07  17 10 73  2.34 4.04 5.39
  707.89  271 187.38   819.56  109 87.47  34 18 48  3.18 4.17 5.42
