              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  252.78   88 21.84   175.85  424 72.80  34  7 59  1.53 32.49 111.83
  567.50    5  2.66   463.60   90 40.92  96  4  1  3.14 31.81 110.66
  205.32    9  1.76   316.84  117 36.20  95  4  1  3.97 31.04 109.47
  375.83    5  1.76   393.75   69 26.61  96  4  0  5.20 30.42 108.33
  451.57    4  1.63   473.16   79 36.68  95  4  1  5.95 29.74 107.18
  225.07    7  1.47   448.42   62 26.97  95  2  2  6.50 29.08 106.04
  475.50    2  1.11   484.65   58 27.59  97  2  0  7.03 28.45 104.91
  237.45    2  0.51   360.62   46 16.30  96  4  0  7.59 27.86 103.81
  258.14    6  1.46   292.29  118 33.78  96  4  0  8.48 27.38 102.75
  486.80    3  1.43   651.43   45 28.69  97  3  1  8.86 26.84 101.68
  340.00    3  0.93   529.05   38 19.48  98  2  0  9.19 26.32 100.62
  346.78    4  1.22   348.88   71 24.29  97  3  1  9.31 25.78 99.56
  428.77    5  2.18   449.14  113 49.60  96  3  1  9.42 25.26 98.52
  546.12    2  0.91   575.52   38 21.13  97  3  1  9.73 24.81 97.50
  415.20    4  1.62   430.87   76 31.93  97  2  0  10.16 24.40 96.50
  256.72    7  1.68   331.91  105 33.90  94  3  4  10.21 23.94 95.50
  611.45    2  1.31   578.00   53 29.97  97  2  0  10.35 23.52 94.51
  475.52    4  1.95   578.11   58 33.02  97  2  1  10.66 23.15 93.55
  380.80    3  1.30   691.03   33 22.33  96  2  2  10.79 22.77 92.59
  470.55    6  2.66   433.76   89 37.91  97  2  0  10.89 22.40 91.65
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  437.67    4  1.84   509.53   76 37.91  95  2  2  10.91 22.02 90.70
  509.16    4  1.89   349.34  120 41.07  96  3  1  10.62 21.59 89.75
  631.20    2  1.54   589.22   45 26.12  97  3  0  10.68 21.24 88.83
  298.25   10  2.80   397.32   94 36.35  97  2  0  10.80 20.92 87.92
  380.91    2  0.82   489.16   53 25.17  96  2  2  10.83 20.59 87.02
  472.12    3  1.52   408.39   95 37.94  97  2  1  10.52 20.21 86.11
  404.74    6  2.57   572.93   69 38.80  97  2  1  10.52 19.89 85.23
  756.00    2  1.40   490.64   61 29.30  96  2  2  10.05 19.48 84.32
  484.94    2  0.80   745.79   37 26.79  98  1  0  10.20 19.20 83.46
  315.23    6  1.75   381.36   97 36.19  98  2  0  10.17 18.90 82.60
  373.71    1  0.51   663.82   27 17.50  99  1  0  10.44 18.67 81.78
  587.84    5  2.81   487.35   89 42.52  97  3  0  10.85 18.48 80.97
  174.71    6  0.95   396.15   61 23.65  98  1  1  10.73 18.20 80.14
  695.24    0  0.18    66.64    1  0.08  72  5 23  14.71 18.78 79.62
  102.41   23  2.26   189.49  152 28.04  62  2 35  13.17 18.31 78.74
   57.43   20  1.11   295.61  102 29.43  97  2  1  12.59 18.02 77.94
  596.21    2  1.11   629.95   43 26.70  98  2  0  12.35 17.79 77.15
  343.48    7  2.31   323.27  151 47.60  96  4  0  12.22 17.58 76.38
  302.82    7  2.10   410.33  114 45.55  97  3  0  11.94 17.35 75.61
  160.80    8  1.26   475.68   63 29.40  98  2  0  11.73 17.12 74.85
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  677.71    2  1.39   448.83   76 33.17  97  3  0  11.70 16.94 74.11
  274.09    5  1.23   504.41   70 34.28  96  2  1  11.52 16.73 73.37
  498.34    3  1.41   454.47   68 30.13  97  2  1  11.66 16.58 72.66
  708.86    1  0.97   647.82   44 27.58  97  2  0  11.33 16.35 71.92
  597.86    6  3.27   420.36  106 43.33  96  3  1  11.53 16.23 71.22
  892.33    1  1.05   766.70   34 25.75  97  3  0  11.29 16.02 70.51
  910.67    2  1.60   478.06   76 35.66  96  3  1  10.70 15.74 69.77
  489.89    4  1.72   536.28   69 35.92  97  3  0  10.74 15.58 69.08
  477.91    6  3.03   390.68  104 39.83  96  3  1  10.79 15.43 68.40
  464.48    4  1.90   477.91   93 43.21  96  3  0  10.82 15.28 67.73
  663.13    9  5.96   344.86  223 75.00  96  4  0  10.85 15.14 67.07
  699.18    3  2.32   593.41   77 44.62  97  3  0  10.56 14.94 66.39
  517.14    1  0.71   605.09   34 20.14  98  2  0  10.71 14.83 65.75
  398.95    4  1.64   435.45   67 28.62  98  2  0  10.76 14.70 65.11
  897.75    2  1.40   690.09   43 29.31  97  2  1  10.87 14.59 64.48
  876.25    2  1.37   671.03   42 27.78  97  2  0  10.89 14.48 63.86
  362.00    3  0.92   426.65   54 22.46  98  2  1  10.65 14.31 63.22
  669.12    4  2.81   538.18   67 35.31  97  2  1  10.62 14.18 62.60
  786.59    2  1.31   908.90   30 26.80  98  2  0  10.60 14.06 62.00
  296.29    4  1.22   383.67   79 29.45  97  2  0  10.59 13.94 61.39
