              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   70.77   62  4.27   4  7 89  9.81 7.63 6.16
  155.19 1909 289.35  27 53 20  9.76 7.69 6.20
  165.51 1922 310.67  21 54 25  9.43 7.69 6.22
  137.87 1862 250.68  21 53 26  8.98 7.65 6.22
  114.79 1316 147.47  21 52 27  10.12 7.94 6.34
  152.28 1731 257.37  21 51 28  9.94 7.97 6.37
  111.93 1208 132.08  20 51 29  9.70 7.99 6.39
   67.97  978 64.89  22 51 27  9.99 8.10 6.45
  111.28 1331 144.59  22 53 25  11.58 8.50 6.61
   32.24  949 29.87  17 50 33  10.94 8.46 6.62
   30.99  919 27.82  17 51 32  10.57 8.47 6.64
   29.10  972 27.63  17 51 32  9.94 8.40 6.64
   29.67  850 24.63  18 51 31  9.64 8.39 6.66
   30.15  815 24.00  18 53 29  9.78 8.46 6.70
   26.89  866 22.75  18 51 30  9.44 8.42 6.71
  139.37 1483 201.85  18 61 20  9.45 8.46 6.74
  186.77 1459 266.11  21 69  9  19.32 10.55 7.50
  120.01 2615 306.42  23 58 19  21.65 11.36 7.83
