              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  254.54   80 19.94   178.24  387 67.37  38  7 56  2.29 55.79 194.36
  796.00   19 15.16   452.63  109 48.30  94  6  0  3.55 54.30 192.21
  202.25    6  1.13   327.51  167 53.33  94  4  2  4.85 52.90 190.11
  123.76    8  1.00   282.62  243 67.15  96  4  0  5.80 51.52 188.01
  285.85    4  1.14   318.42  120 37.22  96  3  0  6.75 50.22 185.96
  295.63    4  1.24   373.33  157 57.09  95  4  1  7.40 48.93 183.91
  300.45    7  2.08   302.16  116 34.14  94  4  2  7.56 47.60 181.86
  215.04    5  0.97   442.36  104 44.73  95  3  1  8.16 46.41 179.87
  241.28    5  1.18   315.74  124 38.17  96  3  0  8.83 45.29 177.91
  299.46    5  1.52   373.89  131 47.82  93  4  2  9.16 44.16 175.96
  136.48    6  0.77   346.54  144 48.66  96  4  0  9.22 43.02 174.02
  413.52    5  2.02   381.23  110 40.91  96  4  0  9.49 41.97 172.11
  211.45    6  1.34   305.41  121 36.00  95  4  1  9.49 40.90 170.21
  223.60    4  0.87   282.37   69 19.00  96  3  1  9.73 39.91 168.35
  495.85    3  1.26   347.96   41 14.00  96  3  2  9.85 38.94 166.51
   79.39    6  0.46   332.98  162 52.84  94  4  2  9.87 37.99 164.68
  330.77    8  2.52   349.72  190 64.78  96  4  0  9.96 37.08 162.88
  368.30    4  1.44   403.48   98 38.69  95  4  1  10.03 36.21 161.09
  102.53    3  0.30   317.68   62 19.39  97  3  1  10.11 35.36 159.33
  302.46    6  1.68   371.18  124 45.07  96  4  0  10.01 34.51 157.58
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  277.86    4  1.17   328.52   99 31.70  97  3  0  9.63 33.62 155.83
  352.27    4  1.55   355.45   73 25.29  96  3  0  9.68 32.84 154.12
  124.90    3  0.38   447.99   86 37.78  96  3  1  9.58 32.05 152.43
  219.19    6  1.37   303.33  200 59.25  94  4  2  9.88 31.38 150.78
  255.29    8  2.12   329.02  122 39.21  95  4  1  10.05 30.71 149.15
  189.46    7  1.31   327.43  190 60.61  95  5  1  10.28 30.07 147.54
  316.00    3  0.89   319.36   91 28.46  94  4  2  10.23 29.41 145.93
  302.44    5  1.59   327.49   76 24.30  95  4  0  9.88 28.71 144.32
  265.95    7  1.92   235.70  104 23.98  94  4  2  9.90 28.09 142.75
  185.77    6  1.11   320.24  126 39.52  95  4  1  9.76 27.46 141.19
   88.00    9  0.76   262.48  171 43.91  95  4  1  9.72 26.87 139.65
  210.51    8  1.71   245.14  139 33.32  96  4  0  9.91 26.35 138.14
   97.63    8  0.77   359.13  117 40.94  95  4  1  9.92 26.07 137.39
  188.27   22  4.08   262.92  224 57.43  95  4  0  9.63 25.48 135.88
  163.91    9  1.50   415.31  135 54.62  95  4  1  9.68 24.97 134.41
  374.45    5  1.79   314.94  127 39.08  94  4  2  9.49 24.43 132.94
  142.38    5  0.65   326.32  143 45.44  94  4  2  9.32 23.90 131.48
   36.55   21  0.75   300.64  167 49.16  94  4  2  9.34 23.42 130.06
  339.38    3  1.06   267.93  112 29.27  95  4  1  9.30 22.95 128.64
  270.42    7  1.74   296.52   90 26.03  95  4  1  9.55 22.56 127.27
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  215.22    9  1.93   347.83   70 23.91  95  4  1  9.84 22.19 125.91
  368.70    6  2.27   333.14  171 55.69  94  4  1  9.95 21.81 124.56
  343.64    4  1.51   399.75   84 32.67  96  4  0  9.94 21.42 123.23
  427.70    9  3.84   415.13   67 27.16  94  4  2  9.87 21.02 121.90
  189.19    5  1.00   311.58  105 31.88  92  3  5  9.64 20.61 120.57
   86.91    9  0.81   263.01  226 58.16  95  4  2  9.85 20.29 119.29
  137.37    7  0.98   285.10   99 27.67  96  3  1  9.88 19.95 118.01
   89.98   21  1.88   195.38  384 73.22  93  5  2  9.82 19.61 116.74
  115.85   18  2.09   235.80  159 36.56  95  4  1  10.56 19.44 115.55
  157.56   17  2.65   238.42  256 59.50  95  4  1  10.55 19.15 114.32
  248.90    8  2.04   258.05  179 45.21  96  4  0  10.86 18.93 113.13
  160.60    5  0.83   353.50   98 33.90  95  4  1  10.59 18.60 111.91
  287.65    8  2.25   288.07   92 25.82  96  3  0  10.57 18.33 110.73
  208.70    6  1.16   314.37  130 39.78  94  4  2  10.79 18.12 109.58
  282.32    6  1.57   292.66  102 29.09  96  3  1  10.67 17.86 108.41
  149.76    7  0.99   264.70  120 30.91  94  3  3  10.88 17.66 107.29
  150.90    6  0.85   246.66  109 26.27  93  3  4  10.75 17.41 106.15
  214.38    7  1.44   285.67  145 40.39  96  4  0  10.87 17.22 105.04
  165.43    9  1.53   325.58  194 61.70  95  4  1  10.97 17.03 103.95
  309.12   11  3.23   299.50  186 54.28  95  4  1  10.97 16.83 102.86
