              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  252.93   86 21.14   176.92  411 71.04  36  7 57  4.53 11.49 56.72
  505.33    1  0.59   869.85   13 11.21  98  2  0  15.76 13.68 56.97
  563.42    8  4.57   469.15   74 34.09  98  2  0  23.76 15.45 57.10
  814.00    1  0.95   648.74   22 13.75  98  2  0  33.05 17.72 57.42
  931.37    2  1.73   703.42   31 21.22  98  2  0  43.24 20.43 57.91
  537.32    9  4.93   354.47  127 44.13  97  3  0  48.19 22.23 58.11
  602.53    3  1.77   762.84   27 20.26  98  2  0  52.88 24.10 58.35
  458.86    3  1.25   549.64   41 22.01  98  2  0  55.85 25.67 58.51
  268.27   18  4.72   299.40  159 46.60  97  3  0  58.40 27.21 58.68
  875.50    5  4.10   557.08   54 29.64  98  2  0  60.41 28.67 58.83
  695.38    3  2.17   489.70   54 26.06  98  2  0  63.99 30.48 59.11
  737.79   11  8.21   443.47  177 76.56  97  3  0  68.60 32.58 59.53
  459.56   19  8.52   425.73   96 40.07  98  2  0  89.45 38.23 61.21
  603.74    8  4.48   380.51  106 39.39  98  2  0  100.96 42.44 62.44
  368.30   45 16.33   311.13  215 65.35  97  3  0  105.91 45.43 63.27
  679.32   12  7.83   429.16  113 47.23  98  2  0  105.90 47.42 63.77
  200.45   27  5.21   370.87   85 30.96  98  2  0  101.79 48.46 63.95
  439.41   19  8.37   328.07  131 42.13  98  2  0  99.49 49.73 64.22
  924.19    8  7.49   605.54   65 38.55  98  2  0  96.61 50.75 64.41
  625.87    1  0.92   566.55   21 11.78  98  2  0  97.44 52.42 64.84
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  611.06   11  6.32   314.98   77 23.64  98  2  0  96.75 53.77 65.17
  657.41    5  3.27   467.37   57 26.15  98  2  0  95.69 54.97 65.47
  534.20   10  5.21   374.22   95 34.62  98  2  0  96.69 56.52 65.89
  444.76   44 19.33   339.51  225 74.53  97  3  0  96.20 57.75 66.22
  354.68   25  8.69   442.08   97 41.72  98  2  0  95.84 58.95 66.55
  584.38    7  4.22   473.74   55 25.58  98  2  0  96.10 60.21 66.91
  731.68    7  5.36   581.63   60 34.02  98  2  0  93.68 60.87 67.06
  644.00    3  2.01   646.57   36 22.67  98  2  0  99.23 63.13 67.79
  719.30    5  3.23   530.69   53 27.41  98  2  0  102.56 65.06 68.42
  563.97   12  6.44   341.24   96 31.95  98  2  0  98.39 65.40 68.50
  771.32    6  4.89   470.30   70 32.09  98  2  0  96.54 66.10 68.71
  491.43   10  4.75   571.86   56 31.03  98  2  0  94.55 66.67 68.89
  508.94   22 10.98   413.29  123 49.64  97  3  0  92.53 67.16 69.03
  651.37    5  3.24   459.56   67 29.91  98  2  0  89.99 67.45 69.11
  683.79    4  2.54   436.95   76 32.49  98  2  0  88.36 67.84 69.23
  410.60    6  2.29   291.24   88 25.05  98  2  0  88.55 68.54 69.46
  459.03    3  1.30   394.94   55 21.21  98  2  0  87.69 69.02 69.62
  732.33   14 10.36   498.72   86 42.04  98  2  0  86.23 69.31 69.72
  501.67    2  1.17   503.71   39 19.27  98  2  0  87.82 70.20 70.03
  568.61   16  8.72   383.31   93 34.70  98  2  0  91.97 71.67 70.55
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  388.78   17  6.64   418.73  109 44.51  98  2  0  90.84 72.11 70.72
  698.10   29 19.97   391.03  159 60.83  98  2  0  91.84 72.93 71.03
  342.00   16  5.21   267.17  125 32.60  98  2  0  91.24 73.41 71.22
  785.10    3  2.22   518.63   45 23.04  98  2  0  94.61 74.69 71.70
  845.62    4  3.47   613.86   63 37.94  98  2  0  100.24 76.58 72.41
  386.37    5  2.04   468.71   55 25.08  98  2  0  96.65 76.60 72.46
  613.98    9  5.58   470.03   81 37.13  98  2  0  96.97 77.31 72.76
  588.00    4  2.18   395.59   40 15.64  98  2  0  101.24 78.87 73.37
  632.89    2  1.11   515.14   37 18.86  98  2  0  101.48 79.67 73.71
  693.32    9  5.96   468.20   91 41.83  97  3  0  105.17 81.17 74.32
  659.52    5  3.22   407.00   79 31.44  98  2  0  107.56 82.50 74.87
  706.08    8  5.31   522.22  114 58.24  97  3  0  109.46 83.73 75.39
  742.60    8  6.02   383.69  118 44.09  97  3  0  111.14 84.97 75.93
  806.88    5  3.94   609.50   66 39.09  98  2  0  112.38 86.09 76.43
  551.65    7  3.66   519.11   51 26.05  98  2  0  107.79 85.97 76.50
  391.11    2  0.69   511.23   19  9.59  98  2  0  103.78 85.82 76.56
  546.56    8  4.16   401.53  107 42.03  98  2  0  101.65 85.97 76.72
  544.27    3  1.59   353.50   69 23.81  98  2  0  97.64 85.63 76.71
  711.53    5  3.54   397.72  115 44.62  97  3  0  93.55 85.15 76.64
  578.88   11  6.27   320.74  216 67.69  97  3  0  92.25 85.14 76.74
