              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  144.81   89 12.56   6 10 85  4.24 3.85 3.38
  114.35  281 31.43  10 45 46  4.81 3.99 3.43
  146.79  260 37.23  11 46 43  5.23 4.11 3.48
  194.65 1817 345.38  12 50 38  5.44 4.18 3.52
  165.93  678 109.82  11 47 41  5.91 4.33 3.57
  104.54  694 70.87  13 47 40  6.53 4.51 3.65
  218.26  461 98.25   9 37 55  6.53 4.58 3.68
  213.44 1316 274.21  11 44 45  6.77 4.69 3.73
  188.90  981 180.95  16 48 36  6.62 4.73 3.76
  187.85  726 133.16  17 48 35  7.44 4.97 3.85
  233.92  757 173.02  12 43 44  7.29 5.02 3.88
  195.66  484 92.57  11 46 43  7.33 5.10 3.93
  160.84  472 74.18  12 46 42  7.20 5.15 3.96
  120.56   56  6.61  10 39 51  7.12 5.19 3.98
  227.46 2093 464.98  10 46 43  7.03 5.24 4.01
  211.40 1618 334.08  14 54 32  7.10 5.31 4.05
  222.69 1087 236.43  16 49 35  6.71 5.28 4.06
  139.36  764 103.99  15 49 36  6.51 5.29 4.08
  195.56  626 119.50  15 48 37  6.75 5.38 4.12
  109.38  375 40.09  12 47 41  6.70 5.41 4.15
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  182.51  717 127.83  16 51 34  7.07 5.53 4.20
  225.05  894 196.41  11 49 40  7.53 5.68 4.27
  190.87   86 16.05   9 45 46  7.76 5.79 4.33
   73.34  516 36.96   8 43 49  7.42 5.78 4.34
  229.07  738 165.09   9 45 47  7.49 5.85 4.38
  209.56  272 55.62   9 43 48  7.42 5.89 4.41
   85.89  485 40.69   9 44 47  7.35 5.92 4.44
  238.12  528 122.85   9 43 49  7.54 6.01 4.49
  227.85 2117 471.14   9 63 28  9.54 6.47 4.67
  232.71 1880 427.17  11 52 37  23.63 9.49 5.76
