              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  248.92   73 17.71   166.82  394 64.21  41  7 52  24.05 46.92 51.79
    6.67    2  0.01     6.68  737  4.81  84 16  1  109.97 64.75 58.07
   66.36    2  0.14     8.28 1009  8.16  88 12  0  154.63 76.12 62.20
   80.80    2  0.16     8.75 1048  8.96  88 12  0  187.19 86.00 65.89
   65.90    4  0.26     9.73  913  8.68  88 12  0  214.29 95.11 69.35
  142.00    2  0.33     7.46 1046  7.62  89 11  0  277.00 112.39 75.78
  455.56    1  0.40     7.42 1185  8.58  88 12  0  330.64 129.26 82.20
  117.06    3  0.39     8.76  817  6.99  89 11  0  384.18 147.35 89.16
  102.63    4  0.41     9.47  816  7.55  89 11  0  411.97 161.10 94.72
   35.21    7  0.23     8.87  943  8.17  89 11  0  370.31 160.43 95.26
  413.07    1  0.60    10.41  817  8.30  89 11  0  364.00 165.85 97.93
   39.60    5  0.19     7.02  864  5.93  89 11  0  356.83 170.79 100.48
  683.11    1  0.60     7.68  978  7.34  90 10  0  340.01 173.22 102.16
  220.17    2  0.49     9.14  709  6.33  90 10  0  385.55 188.47 108.40
   89.19    6  0.56     9.60  960  9.00  89 11  0  427.83 204.03 114.86
   72.03   12  0.87     9.39  974  8.94  89 11  0  414.48 208.35 117.42
   70.76    6  0.40     9.46  901  8.32  88 12  0  386.43 209.24 118.80
   74.27    5  0.37     7.37  893  6.43  89 11  0  402.44 218.67 123.22
  155.27    3  0.50     7.94 1330 10.32  87 13  0  436.26 231.99 129.06
  101.02    9  0.93    10.51  923  9.47  88 12  0  463.05 244.45 134.69
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  116.62    3  0.36     8.68  974  8.25  88 12  0  446.61 248.19 137.30
  257.00    0  0.10    10.41  611  6.21  89 11  0  399.40 244.61 137.32
  513.00    0  0.20     7.44 1005  7.30  89 11  0  415.31 252.94 141.52
   84.53    4  0.37     7.22  942  6.64  90 10  0  446.11 264.85 147.05
  186.27    4  0.80     9.69  636  6.02  90 10  0  422.55 265.71 148.72
  114.67    2  0.20     9.11  783  6.97  89 11  0  417.62 270.08 151.66
   87.56    5  0.46     9.44  830  7.66  89 11  0  369.27 264.62 151.11
  146.48    4  0.60     9.91  889  8.61  89 11  0  405.17 275.65 156.34
  349.56    2  0.61    10.46  757  7.73  89 11  0  390.91 276.67 158.08
  110.27    5  0.55     7.49 1186  8.67  88 12  0  412.46 284.86 162.36
  135.53    7  0.90     8.89 1034  8.98  88 12  0  373.04 280.67 162.31
  344.00    0  0.10     9.03  823  7.26  88 12  0  402.81 290.24 167.10
  133.50    4  0.52     9.19 1043  9.36  88 12  0  366.61 286.12 167.07
  528.00    0  0.10    10.26  736  7.37  89 11  0  381.56 291.97 170.54
  177.33    1  0.10     6.90 1072  7.23  88 12  0  366.19 291.75 171.88
   83.17    5  0.39     7.29 1079  7.68  88 12  0  367.14 294.13 174.11
  569.78    1  0.50     8.87  943  8.16  88 12  0  365.49 296.48 176.37
    4.00    0  0.00     8.65  834  7.05  89 11  0  381.76 302.47 179.91
   61.23    6  0.39     8.88  865  7.50  88 12  0  399.67 308.70 183.54
   60.47    3  0.20    10.07  751  7.38  89 11  0  405.87 312.74 186.42
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  410.40    0  0.20     7.00 1093  7.47  89 11  0  445.12 324.19 191.95
   67.30    2  0.15     7.14 1034  7.21  88 12  0  443.70 328.10 194.90
  224.25    3  0.70     9.64  793  7.46  88 12  0  483.47 340.42 200.83
   48.73    2  0.10     8.78  816  7.00  89 11  0  474.29 342.96 203.35
   43.13    2  0.10     8.60  914  7.68  88 12  0  504.51 353.76 208.81
  109.79    6  0.60     9.63  847  7.96  89 11  0  498.88 357.27 211.74
  148.73    2  0.32     7.32  954  6.82  89 11  0  497.94 361.56 214.95
   51.37    2  0.10     7.09  930  6.44  88 12  0  493.27 365.29 218.00
    4.00    0  0.00     8.60  975  8.18  88 12  0  474.55 365.81 219.92
    4.00    0  0.00     8.00  882  6.89  88 12  0  481.87 371.12 223.52
  200.48    7  1.31    12.12  707  8.37  88 12  0  499.13 378.55 227.89
  302.00    1  0.18     8.59  877  7.36  88 12  0  491.06 380.74 230.42
    4.00    0  0.00     6.41 1245  7.80  88 12  0  517.51 390.05 235.48
   78.76    3  0.22     8.11  951  7.54  88 12  0  501.76 391.14 237.69
  343.33    1  0.20     8.98  914  8.02  88 12  0  502.65 394.94 240.83
  684.00    0  0.20     8.13  953  7.57  89 11  0  484.82 394.95 242.65
   27.63   11  0.29     9.96  759  7.39  88 12  0  490.81 399.34 246.00
  615.20    0  0.30     7.32  931  6.66  88 12  0  517.70 408.11 250.90
  281.82    1  0.30     7.23 1177  8.31  87 13  0  531.35 414.72 255.08
   40.48    2  0.10     8.21  843  6.76  88 12  0  551.98 422.99 259.89
