              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  255.17   76 18.83   176.72  369 63.65  41  6 53  2.47 135.15 198.30
  197.10    8  1.62   488.06  137 65.38  17  4 79  2.32 130.75 196.00
  153.42    6  0.88   420.76  187 76.95  17  5 78  2.35 126.53 193.74
  251.64    1  0.27   395.35  141 54.63  17  4 79  2.29 122.43 191.50
  493.63    3  1.30   455.70  168 74.89  16  4 79  2.54 118.53 189.31
  216.00    6  1.27   446.72  151 66.04  17  4 79  2.54 114.71 187.13
  597.30    4  2.33   409.75  177 70.98  16  5 79  2.38 110.98 184.96
   76.00    2  0.13   394.49  179 69.03  16  5 79  2.32 107.39 182.82
  388.82    7  2.77   421.58  159 65.52  17  4 79  2.35 103.93 180.71
  910.67    2  1.60   454.13  151 66.76  17  4 79  2.21 100.56 178.62
  241.14    1  0.33   391.22  177 67.60  17  4 78  2.11 97.30 176.55
   52.00    4  0.21   441.96  135 58.34  17  5 78  2.01 94.14 174.50
  691.50    2  1.62   437.01  152 64.91  17  4 79  2.01 91.11 172.49
  298.14    3  0.81   400.74  160 62.74  17  5 79  2.17 88.21 170.51
   52.82    3  0.18   432.17  155 65.33  17  5 79  2.06 85.35 168.53
  571.38    3  1.45   461.47  129 57.94  17  4 79  2.05 82.61 166.58
  290.00    1  0.23   466.07  167 76.05  16  4 79  2.12 79.97 164.67
  110.97    6  0.63   327.97  220 70.46  16  5 79  2.26 77.43 162.78
  191.90    4  0.73   331.61  169 54.85  15  4 80  2.21 74.95 160.90
  300.15    3  0.76   400.96  151 59.29  17  4 79  2.10 72.53 159.03
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  158.40    4  0.70   461.18  126 56.56  16  4 79  2.01 70.19 157.19
  580.67    3  1.70   465.97  124 56.60  17  4 79  2.01 67.95 155.38
  310.80    1  0.30   450.51  159 69.99  16  4 79  2.17 65.81 153.60
  157.29    3  0.52   431.31  184 77.41  16  4 79  2.07 63.69 151.82
   55.33    1  0.06   386.29  131 49.38  17  4 80  1.90 61.62 150.06
   79.58    2  0.15   435.96  171 72.79  16  5 79  2.15 59.71 148.34
  196.51    5  0.90   418.39  141 57.61  16  4 79  2.05 57.79 146.63
  505.52    3  1.43   387.45  142 53.61  17  4 79  2.04 55.96 144.94
  412.05    8  3.26   365.34  187 66.85  16  4 80  1.95 54.16 143.26
  306.07    3  0.81   418.76  183 74.95  16  4 79  2.19 52.49 141.63
  374.57    1  0.51   526.93  101 51.80  17  4 79  2.16 50.83 140.00
  393.33    2  0.81   532.89  111 57.91  17  4 79  2.14 49.22 138.38
  276.62    4  1.05   440.88  164 70.70  18  5 77  2.42 47.73 136.81
  483.60    3  1.42   483.50  130 61.37  17  5 78  2.28 46.21 135.23
   31.00    1  0.04   407.48  143 56.77  16  4 80  2.32 44.77 133.68
   43.48    5  0.20   394.20  194 74.52  16  5 79  2.35 43.38 132.15
  200.74    3  0.53   377.67  182 67.15  16  4 80  2.37 42.03 130.63
  312.86    3  0.86   423.46  210 86.91  16  5 79  2.39 40.73 129.13
  281.71    9  2.50   402.90  186 73.09  16  4 80  2.48 39.49 127.66
  390.29    2  0.80   394.08  139 53.64  17  4 79  2.48 38.27 126.20
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  235.49    5  1.08   400.70  175 68.59  16  4 79  2.33 37.06 124.74
  151.02    5  0.78   399.51  184 71.78  16  4 79  2.64 35.98 123.33
  789.92    2  1.93   514.46  113 57.02  17  4 79  2.61 34.88 121.92
  387.18    4  1.66   492.21  160 77.05  16  5 79  2.44 33.78 120.51
  195.76    2  0.32   490.73  137 65.74  16  4 79  2.30 32.72 119.12
  744.19    2  1.53   459.06  166 74.32  16  4 79  2.17 31.69 117.75
  604.09    4  2.60   497.91  141 68.79  16  4 79  2.14 30.71 116.39
  167.69    3  0.43   451.73  138 60.74  16  4 79  2.12 29.76 115.06
  741.92    2  1.81   484.41  112 52.92  17  4 79  2.34 28.90 113.75
  457.48    3  1.21   487.89  142 67.75  17  4 79  2.22 28.00 112.44
    6.13    1  0.01   473.18  137 63.32  17  4 79  2.18 27.14 111.15
  412.29    3  1.13   473.68  152 70.35  16  4 79  2.23 26.33 109.88
  731.60    1  0.71   443.82  152 65.74  16  4 79  2.04 25.49 108.61
  319.64    7  2.09   442.80  106 46.00  17  4 79  1.96 24.70 107.36
  351.33    5  1.65   395.28  179 68.94  16  4 79  1.74 23.91 106.11
   83.20    1  0.12   423.87  147 60.93  16  4 79  1.70 23.17 104.88
  507.64    7  3.32   478.48  170 79.66  16  5 79  1.66 22.46 103.68
  500.65    3  1.52   422.19  153 62.90  17  4 79  1.71 21.78 102.49
  534.46    3  1.36   450.77  165 72.67  16  5 79  1.75 21.13 101.31
  330.17    3  1.13   484.49  139 65.80  16  4 79  1.94 20.53 100.16
