              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  131.28  101 12.91   551.67   44 23.48  35 10 55  2.26 2.48 9.50
   81.71  118  9.38   538.37   82 43.26  82 17  1  55.53 13.58 13.34
  109.18  522 55.64   309.82  153 46.31  83 17  0  121.92 29.54 19.03
  118.58  556 64.35   652.07  128 81.60  81 19  0  119.21 32.00 20.02
  135.64  734 97.21   699.53  118 80.65  67 22 11  123.96 36.00 21.59
  284.90  475 132.09   676.70  119 78.47  27 14 59  105.44 34.93 21.37
  125.41  372 45.53   536.19  130 67.91  14  6 80  89.31 33.80 21.13
   37.16  293 10.62   455.25  137 60.90   9  4 87  75.89 32.75 20.91
    7.48  464  3.39   279.31  124 33.81   3 13 84  64.52 31.74 20.68
   24.36  822 19.56   262.99  153 39.39  12  8 80  54.75 30.72 20.45
   29.14  449 12.77   330.26  135 43.55   8  4 87  46.64 29.78 20.24
   29.80  388 11.31   252.83  163 40.23   7  4 89  39.69 28.84 20.02
   28.82  300  8.43   215.51  158 33.15   7  4 89  33.97 27.98 19.81
   27.43  260  6.98   182.60  168 29.96   8  4 87  28.90 27.09 19.59
   27.46  309  8.29   158.09  171 26.37   7  4 89  24.84 26.28 19.39
   29.65  235  6.81   118.84  176 20.45   6  4 90  21.18 25.44 19.18
   23.57  212  4.89   104.43  165 16.80   7  5 88  18.39 24.71 18.99
   28.84  397 11.18   155.85  171 26.10   6  4 90  15.79 23.94 18.78
   24.41  189  4.50    85.47  188 15.71   5  4 91  13.82 23.25 18.60
   25.85  136  3.44    89.76  185 16.23   6  4 90  11.78 22.50 18.39
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   23.80  134  3.12    84.72  180 14.90   6  4 91  10.28 21.83 18.19
   21.72   94  1.99    74.06  187 13.49   4  3 93  8.93 21.16 18.00
   19.64   70  1.35    74.62  186 13.58   5  4 91  7.78 20.51 17.81
   18.15   55  0.97    80.49  182 14.32   5  4 91  6.82 19.88 17.61
   18.23   45  0.81    65.10  189 11.98   4  3 93  6.22 19.33 17.44
   19.19   52  0.97    79.92  178 13.91   4  3 93  5.49 18.74 17.26
   18.79   41  0.75    83.63  185 15.13   5  3 92  4.73 18.14 17.06
   10.71   53  0.55    66.67  181 11.76   6  3 91  4.23 17.59 16.88
   15.99   44  0.69    52.28  191  9.73   7  4 89  3.81 17.06 16.70
   17.22   36  0.61    55.04  198 10.66   4  3 93  3.38 16.53 16.51
   14.67   26  0.37    80.72  185 14.61   6  3 91  3.09 16.03 16.34
   15.83   30  0.46    76.59  186 13.88   4  3 93  2.84 15.55 16.16
   11.86   34  0.39    92.22  176 15.84   8  5 87  2.56 15.08 15.99
   12.24   24  0.29    84.49  188 15.52   5  3 92  2.32 14.61 15.81
   12.30   36  0.43    82.46  170 13.72   5  4 91  2.52 14.25 15.67
   13.90   27  0.37    80.19  187 14.65   5  4 91  2.28 13.81 15.49
   14.13   21  0.29    71.72  184 12.89   5  4 91  2.01 13.37 15.32
   11.48   50  0.56    96.33  168 15.83   4  3 93  1.93 12.98 15.16
    8.93   33  0.29   100.12  176 17.25   7  4 89  1.78 12.58 14.99
    9.80    9  0.09    92.73  182 16.45   5  4 91  1.81 12.23 14.84
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   12.62   34  0.42   105.99  169 17.49   4  3 92  1.76 11.88 14.68
    9.08   51  0.45    98.52  168 16.18   4  3 93  1.81 11.56 14.53
    8.44   20  0.17    92.65  171 15.47   5  3 92  1.83 11.24 14.39
   10.02   26  0.25   113.43  178 19.68   5  4 91  1.85 10.94 14.24
   14.05   49  0.67    96.67  165 15.53   5  3 92  1.72 10.61 14.09
    7.06   26  0.18   129.44  164 20.71   6  4 90  1.69 10.31 13.94
    9.03   62  0.55   126.78  160 19.76   6  4 90  2.21 10.13 13.83
    8.53   24  0.20   132.82  161 20.89   5  3 92  2.10 9.85 13.69
   15.98   33  0.51   133.08  160 20.76  10  5 85  1.93 9.56 13.54
   11.29   62  0.68   135.91  155 20.52   8  5 87  2.01 9.32 13.41
   10.04   40  0.39   146.12  151 21.58   8  4 88  1.94 9.07 13.27
   12.88   34  0.42   147.77  156 22.45   7  4 89  1.87 8.82 13.13
   11.41   38  0.43   143.20  162 22.72   7  5 88  1.89 8.59 13.00
   15.79   51  0.78   132.99  157 20.45   5  3 92  1.91 8.37 12.87
    8.69   32  0.27   127.36  160 19.87   6  4 91  2.08 8.20 12.76
   15.34   41  0.61   125.08  152 18.53   5  4 91  2.06 7.99 12.63
    9.13   24  0.22   112.35  163 17.89   5  4 91  2.05 7.79 12.51
    5.15  157  0.79   110.02  158 17.03   6  4 90  2.20 7.64 12.40
   14.80   48  0.70   114.68  154 17.20   6  4 90  2.09 7.43 12.27
   10.07   43  0.43   129.81  155 19.62   8  5 87  2.30 7.30 12.16
