              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  174.28   58  9.89   446.62   35 15.07  25  6 69  2.65 3.33 2.71
  540.16   50 26.47   236.39    7  1.64  94  5  1  4.00 3.60 2.82
  645.73   53 33.28   236.68    9  2.03  94  5  0  6.12 4.07 2.99
  606.02   53 31.30   205.32    7  1.46  94  6  0  7.03 4.33 3.10
  685.95   35 23.77   499.91    4  2.15  95  5  0  7.64 4.55 3.19
  442.88   71 30.53   131.76   12  1.49  94  5  1  8.08 4.75 3.27
  734.00   41 29.17   321.76    6  1.85  95  5  0  9.20 5.10 3.42
  742.62   49 35.45   333.33    4  1.27  94  5  1  9.17 5.23 3.48
  677.17   44 29.02   286.31    4  1.26  93  5  1  9.30 5.38 3.56
  748.98   55 39.93   135.10    6  0.82  95  5  0  9.25 5.50 3.62
  756.59   47 34.79    80.07    5  0.42  95  5  0  9.89 5.76 3.73
  673.10   63 41.21   298.04    9  2.68  95  5  0  10.96 6.13 3.89
  568.29   32 17.54   133.52    4  0.55  96  4  0  10.80 6.26 3.96
  630.56   27 16.81   469.38    3  1.33  94  6  0  12.96 6.86 4.20
  549.38   53 28.48   497.92   12  5.78  92  7  0  14.09 7.31 4.39
  806.87   34 26.94   165.80    4  0.65  94  6  0  13.24 7.35 4.44
  552.53   30 16.34   132.56    4  0.47  95  5  0  13.04 7.50 4.53
  623.72   57 34.53   392.09    9  3.48  94  6  0  14.89 8.06 4.76
  558.87   44 23.84   230.86    7  1.67  94  5  0  14.22 8.14 4.83
  725.18   34 23.86   253.58    4  0.94  95  5  0  14.03 8.30 4.92
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  656.74   44 28.01   251.92    5  1.30  94  5  1  14.23 8.54 5.04
  612.73   48 28.65   250.90    6  1.42  95  5  0  13.67 8.60 5.11
  411.15   93 37.25    96.80   18  1.66  95  5  0  13.18 8.67 5.17
  709.82   88 60.77   203.55   10  1.95  94  6  1  13.07 8.79 5.25
  336.05   94 30.71   134.84   18  2.41  93  7  0  12.84 8.88 5.33
  566.38   61 33.51   257.27   11  2.69  94  5  0  12.41 8.92 5.38
  469.42  111 51.01   134.20   14  1.83  94  6  0  12.49 9.05 5.47
  431.53   78 32.90    62.85   23  1.41  95  5  0  12.28 9.12 5.53
  475.97   97 45.11   119.76   15  1.72  94  5  1  12.33 9.23 5.61
  514.65  119 59.88    96.83   20  1.87  94  5  1  12.13 9.29 5.68
  633.17   92 56.65   303.54   12  3.65  95  5  0  11.88 9.32 5.73
  524.29   97 49.77    98.35   12  1.14  94  5  1  11.27 9.28 5.76
  699.91   62 42.71   346.23   11  3.75  95  5  0  11.23 9.34 5.82
  717.28   84 58.76   338.96   12  4.07  93  6  1  11.75 9.51 5.92
  429.85   54 22.70   282.92    7  2.04  96  4  0  11.85 9.60 6.00
  591.17   68 39.30   233.03   12  2.66  95  5  0  15.53 10.50 6.36
  587.17   47 26.95    69.66   11  0.77  96  3  0  14.68 10.48 6.40
  569.38   70 38.98   296.65    7  2.14  97  3  0  14.19 10.51 6.46
  681.80   75 50.18   271.70    9  2.44  95  4  2  13.86 10.56 6.52
  678.16   67 44.10   109.91    6  0.70  96  3  1  13.35 10.56 6.57
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  810.64   68 53.66   180.21    6  1.02  96  4  0  13.39 10.66 6.65
  580.24   70 39.89   308.87    7  2.08  95  4  1  12.64 10.59 6.67
  891.35   68 59.51   276.51    5  1.48  95  4  1  12.46 10.62 6.73
  735.98   70 50.22   147.00    6  0.92  95  4  1  11.78 10.53 6.74
  746.10   80 58.58   280.30    8  2.19  95  4  0  11.95 10.61 6.81
  823.56   58 47.05   261.87    4  1.15  95  4  1  11.95 10.65 6.87
  816.75   56 44.49   226.73    4  0.97  95  4  1  12.11 10.73 6.95
  614.45   76 45.84    71.07    9  0.60  96  4  0  11.62 10.67 6.97
  637.80   51 32.00   188.95    5  1.01  96  3  1  11.45 10.67 7.01
  750.87   55 40.33   294.00    4  1.26  96  3  0  11.46 10.69 7.06
  685.61   61 41.04   246.57    7  1.61  96  3  0  11.38 10.70 7.11
  781.69   79 60.07    19.19   15  0.29  94  4  1  11.25 10.70 7.15
  699.24   37 25.06   285.55    3  0.86  96  3  1  11.45 10.76 7.21
  655.18   65 41.33   161.26    5  0.85  95  4  1  11.08 10.70 7.23
  849.59   44 36.83   276.07    6  1.56  96  4  0  11.14 10.72 7.28
  663.66   81 52.28   111.68    7  0.82  96  4  1  10.91 10.68 7.30
  700.14   56 38.01   152.16    7  1.10  95  3  2  10.84 10.68 7.34
  787.99   33 25.62    25.87    1  0.04  94  3  2  10.94 10.70 7.39
  806.91   37 29.55   556.09    4  2.34  95  3  1  10.63 10.65 7.41
  412.04   65 26.11   297.09   10  2.99  96  4  0  10.46 10.61 7.43
