              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   48.23  140  6.60    59.15   42  2.41  21 17 62  2.21 9.90 14.94
   90.74  781 69.21    34.56    4  0.13  93  7  1  3.49 9.92 14.89
  361.02  158 55.64    44.69    3  0.15  93  5  2  4.80 9.99 14.85
  111.14  575 62.43    38.48    6  0.24  94  6  0  5.90 10.06 14.82
  263.63  266 68.45   281.33    6  1.73  90  5  5  6.38 10.02 14.75
  135.61  395 52.33    11.88   20  0.23  93  5  2  7.17 10.07 14.71
  142.31  566 78.72    44.86    7  0.31  92  6  2  7.61 10.07 14.66
  229.20  305 68.21    77.97    7  0.53  92  6  2  7.59 9.98 14.57
  181.21  308 54.57    24.45   16  0.38  91  6  3  8.78 10.16 14.58
  389.91  112 42.48    22.87   24  0.54  93  5  2  8.80 10.12 14.52
  252.76  200 49.27    37.90    2  0.08  95  5  0  8.77 10.07 14.45
  100.42  741 72.64    19.91   22  0.42  91  6  2  10.63 10.42 14.52
   92.02  354 31.85    30.23   44  1.31  87 12  1  11.11 10.52 14.50
  168.60  298 49.01    95.30    9  0.85  90  9  1  11.65 10.65 14.50
  104.89  217 22.21    36.66  111  3.96  91  8  1  11.78 10.71 14.48
  272.70  141 37.48    60.82   14  0.81  90  8  2  11.74 10.74 14.44
  177.54  300 52.06    72.72    8  0.55  92  7  1  11.69 10.76 14.41
  122.08  742 88.48    24.38   36  0.85  90  7  3  11.21 10.69 14.34
  271.53  283 75.01   102.34    9  0.94  90  7  3  10.98 10.65 14.28
   78.96  780 60.17    15.34   36  0.54  91  7  1  11.15 10.69 14.27
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  425.92   91 37.76    19.70    5  0.10  94  5  0  10.44 10.55 14.18
  322.72  116 36.51    39.83    5  0.18  91  5  4  10.76 10.61 14.16
  149.83  514 75.23    40.24    7  0.27  93  7  1  10.41 10.54 14.10
  111.52  422 45.93    31.39   12  0.38  92  6  2  10.43 10.54 14.05
  302.53  117 34.70    30.19    6  0.18  94  5  1  10.59 10.57 14.02
  199.29  311 60.44    79.33    6  0.46  91  6  3  10.97 10.65 14.01
  377.32   95 34.84    18.19   11  0.19  94  5  1  10.89 10.65 13.97
  291.35  189 53.69    63.93    5  0.34  93  5  2  10.67 10.61 13.92
  147.61  343 49.48    14.81   10  0.15  94  5  1  10.49 10.57 13.86
  145.66  514 73.13    60.08   14  0.84  89  8  3  10.71 10.62 13.84
  150.81  256 37.63    73.94   57  4.14  90  9  1  12.91 11.10 13.98
  249.82  243 59.40    58.19   15  0.83  91  8  1  13.94 11.39 14.05
  276.66  252 68.05    64.94   10  0.65  92  8  1  12.94 11.26 13.97
  273.03  166 44.17    46.90    9  0.40  94  6  0  12.87 11.30 13.95
  393.31  108 41.31    29.09    9  0.25  92  6  2  12.44 11.26 13.91
  132.05  543 69.99    31.93   16  0.50  91  7  2  12.39 11.29 13.88
  266.51  214 55.57    71.62    6  0.45  94  6  0  12.54 11.36 13.88
  175.86  193 33.08    16.00   11  0.17  94  5  1  12.53 11.39 13.86
  255.97  302 75.49    80.73    5  0.43  92  6  2  12.15 11.35 13.82
   96.99  761 72.08    34.55   11  0.38  92  6  2  13.40 11.63 13.89
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  405.01  217 85.89   118.51    8  0.90  94  6  0  13.66 11.75 13.90
  193.67  383 72.48    34.62    6  0.21  90  6  4  13.01 11.67 13.85
  142.68  443 61.67    40.93    6  0.22  93  6  1  12.85 11.68 13.83
  643.65  101 63.46    90.30    7  0.58  93  6  1  12.72 11.69 13.81
  441.37   66 28.48    36.10    8  0.30  90  5  4  11.24 11.41 13.68
  303.94  160 47.53   166.48   11  1.84  91  6  4  11.13 11.38 13.64
  201.96  236 46.55    14.95   10  0.15  93  6  2  11.10 11.36 13.61
  541.53   89 47.15   149.77    6  0.89  95  5  0  11.39 11.42 13.60
  336.68  178 58.37   119.14    5  0.59  94  6  0  11.15 11.37 13.56
   80.22  705 55.20    77.45    4  0.33  94  6  1  11.35 11.40 13.55
  410.17   92 36.95    13.56    6  0.08  92  5  3  11.61 11.46 13.54
  347.91  174 59.07    68.84    4  0.26  93  5  2  12.42 11.64 13.58
  295.79  200 57.66   127.16    4  0.47  94  5  1  11.97 11.57 13.53
  479.38   99 46.38    27.43    6  0.15  93  6  1  11.83 11.55 13.50
  428.08  134 55.96   133.05    6  0.74  92  6  3  12.10 11.61 13.50
   89.54  788 68.87   110.25    5  0.59  93  7  0  11.72 11.54 13.45
  900.27   70 61.52    68.26    5  0.31  94  6  1  11.84 11.57 13.44
  452.34  147 64.79   112.86   11  1.18  91  8  1  11.63 11.54 13.41
  300.88  273 80.11    78.34    7  0.54  92  7  0  11.22 11.45 13.36
  402.21  111 43.47    58.75   16  0.90  91  7  3  11.19 11.44 13.33
