              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  133.71  105 13.77   491.20   38 18.11  37 10 53  3.32 3.31 16.75
    7.58   28  0.20   873.66  128 109.59  30 10 61  3.13 3.28 16.66
    8.01   27  0.21   865.71  125 105.72  18  7 75  3.05 3.25 16.49
    6.51   17  0.11   936.30  120 109.70  15  7 78  3.04 3.24 16.33
    8.46   10  0.09   902.82  127 111.85  15  7 78  2.73 3.17 16.15
   10.45   25  0.26   890.44  121 105.19  19  8 73  2.62 3.13 15.99
    7.97   37  0.29   686.38  153 102.36  24  9 67  3.19 3.24 15.88
    7.65   50  0.38   810.48  131 103.97  17  7 76  2.85 3.16 15.70
    8.21   57  0.46   691.36  143 96.76  17  8 76  2.72 3.12 15.54
    8.30   26  0.21   830.35  125 101.23  16  8 76  2.85 3.14 15.40
    9.25   26  0.24   860.47  130 109.35  16  8 76  2.56 3.07 15.23
    7.72   59  0.44   577.24  164 92.23  17  7 76  2.41 3.01 15.07
    7.08   25  0.17   714.13  147 102.55  16  8 77  2.41 3.00 14.92
    9.21   36  0.32   742.81  136 98.40  13  7 81  2.34 2.96 14.77
    7.84   57  0.43   790.88  130 100.20  15  7 77  2.53 2.98 14.64
    6.82   14  0.09   912.81  124 110.68  18  8 74  2.59 2.98 14.50
    7.91   45  0.35   841.25  127 104.73  18  8 74  2.50 2.95 14.36
    7.26   38  0.27   854.81  124 103.66  14  6 80  2.42 2.92 14.21
    9.29   20  0.18   810.81  134 105.75  12  6 81  2.50 2.92 14.08
    7.18   28  0.19   726.37  142 100.56  14  7 79  2.50 2.90 13.94
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    6.12   32  0.19   826.75  129 103.82  13  7 80  2.35 2.86 13.80
    7.01   18  0.13   875.42  126 107.84  13  7 80  2.38 2.84 13.67
    6.40   29  0.18   843.01  130 106.72  13  7 80  2.32 2.82 13.53
    6.95   30  0.20   837.28  124 101.09  15  7 78  2.19 2.77 13.39
    8.36   34  0.28   849.84  126 104.43  13  7 81  2.08 2.73 13.25
    9.24   23  0.21   899.08  124 109.17  18  8 73  2.66 2.84 13.16
    8.45   36  0.30   851.11  122 101.53  15  7 78  2.70 2.84 13.05
    8.32   29  0.23   825.05  127 102.06  15  7 78  2.51 2.80 12.91
    9.65   15  0.15   920.38  121 108.69  21 10 70  2.43 2.77 12.78
    9.39   54  0.50   918.10  111 99.66  18  8 74  2.44 2.76 12.66
    8.25   14  0.12   899.67  122 106.97  16  8 76  2.23 2.70 12.52
    9.18    9  0.09   890.98  125 108.37  16  8 76  2.66 2.78 12.44
    9.57   22  0.20   859.96  123 103.44  15  8 77  2.63 2.77 12.32
    8.72   32  0.27   884.88  121 104.17  19  9 72  2.38 2.71 12.19
    9.33   36  0.33   615.55  162 97.16  18  9 73  2.63 2.75 12.09
    8.49   44  0.36   792.09  129 99.84  15  7 78  2.54 2.73 11.97
   10.00   17  0.16   861.06  124 104.39  14  7 78  2.45 2.70 11.85
    6.56    6  0.04   870.46  127 107.57  13  7 80  2.23 2.64 11.73
    6.75   44  0.29   866.81  119 100.35  14  7 79  2.27 2.64 11.62
    8.22   22  0.18   863.89  123 103.63  15  7 78  2.30 2.63 11.51
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.36   52  0.38   688.61  142 95.31  19  8 73  2.10 2.58 11.39
    7.48   56  0.41   563.89  165 91.01  18  8 75  2.00 2.54 11.27
    9.99   26  0.26   762.77  137 101.72  16  8 76  2.15 2.56 11.18
    8.20   14  0.11   814.23  132 105.17  16  8 76  2.28 2.57 11.08
    7.84   33  0.25   873.63  119 101.41  14  6 80  2.24 2.55 10.97
    9.36    4  0.04   861.59  125 104.98  13  6 82  2.20 2.53 10.87
    7.79   19  0.15   850.56  124 103.22  16  6 78  2.47 2.58 10.79
    7.65   43  0.32   884.35  117 101.17  14  7 79  2.55 2.60 10.70
    9.69   18  0.17   829.98  127 102.91  15  7 77  2.68 2.62 10.61
    6.79   27  0.18   766.31  135 100.69  14  7 79  2.50 2.59 10.50
    8.03   38  0.30   834.35  123 100.36  13  7 80  2.74 2.63 10.43
    8.66   17  0.15   875.63  122 104.03  13  6 81  2.72 2.63 10.33
    7.53   19  0.14   876.44  118 101.42  12  6 81  2.44 2.57 10.22
    8.37   33  0.27   835.69  126 103.06  17  8 76  2.52 2.59 10.14
    9.82   10  0.09   863.73  123 103.87  15  7 79  2.37 2.55 10.04
    5.40    4  0.02   875.82  125 107.31  16  8 76  2.23 2.52 9.94
    8.96   29  0.26   894.54  115 100.09  14  6 80  1.97 2.45 9.83
    9.06   21  0.18   932.48  114 104.03  16  8 76  2.42 2.53 9.77
    7.80   26  0.20   829.83  125 100.92  15  8 78  2.35 2.51 9.68
    7.25   32  0.23   816.56  125 99.96  14  6 79  2.30 2.50 9.59
