              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  138.44  110 14.88   403.12   54 21.38  31  9 60  1.96 2.16 4.14
  955.73  392 365.75    48.84   25  1.20  80 20  1  3.20 2.42 4.21
  883.69  444 383.47    87.67   25  2.18  78 19  3  4.68 2.76 4.31
  902.57  408 359.61    34.38   26  0.88  79 19  2  5.79 3.07 4.40
  922.49  322 290.00    40.23   20  0.80  80 17  2  6.74 3.36 4.49
  862.61  435 366.21    74.13   24  1.73  77 20  3  6.97 3.51 4.53
  845.80  437 360.99    39.85   26  1.01  78 19  2  7.67 3.78 4.61
  890.44  381 331.19    43.97   24  1.04  78 20  1  8.89 4.16 4.74
  864.46  341 288.13    87.45   19  1.60  78 19  3  8.97 4.34 4.80
  564.47   43 23.67   766.50   60 44.76  33  9 58  7.96 4.27 4.77
   12.20   36  0.43   489.67   89 42.48  18  5 77  6.97 4.18 4.73
   11.17   16  0.18   942.78  162 149.05  53 15 32  6.67 4.21 4.73
    8.24   15  0.12   887.11  170 147.23  46 12 42  6.81 4.32 4.77
   11.26   12  0.14   906.91  160 142.13  26  9 65  6.81 4.40 4.79
   12.32   11  0.13   894.64  162 141.68  33 10 57  6.36 4.39 4.78
   15.15    0  0.00   742.09    0  0.13  10  6 83  5.61 4.29 4.74
  685.26  366 245.15    88.54   54  4.65  54 15 31  5.62 4.33 4.75
  889.27  393 341.20    21.78   26  0.55  77 22  2  6.79 4.62 4.85
  881.01  350 301.11    43.31   25  1.07  76 22  2  8.17 4.98 4.97
  914.71  259 231.56   790.27   97 74.50  50 16 33  8.62 5.19 5.05
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   49.40   11  0.55   932.61  161 146.48  26  9 65  7.90 5.15 5.03
   10.58   18  0.18   889.86  166 144.37  27  9 63  6.99 5.05 5.00
   34.74   17  0.58   918.39  164 147.42  29 10 61  6.55 5.01 4.99
   72.14    8  0.59   936.64  162 148.55  37 11 52  6.50 5.05 5.00
   14.53   19  0.27   877.54  159 136.11  32 11 57  6.51 5.09 5.01
   49.86   10  0.50   929.16  156 141.59  28  9 63  5.74 4.98 4.97
   17.68    5  0.09   923.63  157 141.36  29  9 61  5.16 4.88 4.94
   40.21   15  0.59   917.40  159 142.39  32 10 58  4.82 4.81 4.91
   12.36    8  0.09   915.44  168 150.03  25  9 66  4.48 4.74 4.89
   43.10   13  0.56   899.79  166 146.02  26  9 65  4.31 4.70 4.87
   10.23   14  0.14   913.48  161 143.41  31 10 59  4.35 4.69 4.86
   15.62   66  1.01   639.64  207 129.04  31 11 58  3.99 4.60 4.83
    5.47  302  1.61   780.38  180 137.15  33 11 57  3.91 4.56 4.81
   12.16   80  0.95   610.17  188 111.76  28  9 62  3.46 4.45 4.77
   10.35   31  0.31   810.66  178 140.80  34 11 55  3.52 4.43 4.76
   19.58   17  0.33   875.36  169 144.57  31 11 58  3.51 4.40 4.74
   13.72   19  0.26   884.42  165 142.09  25  9 66  3.44 4.35 4.72
   15.04   32  0.47   883.35  166 142.97  25  9 66  3.14 4.26 4.69
   12.97   13  0.17   876.09  165 141.06  27  9 63  3.29 4.25 4.68
   12.11   14  0.17   913.98  158 141.33  24  8 68  3.49 4.26 4.67
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   12.37   14  0.17   787.52  190 146.47  31 10 58  3.47 4.23 4.66
  235.81   37  8.59   451.25  268 117.91  36 13 52  3.39 4.19 4.64
  569.01   36 19.83   532.56  236 122.60  28  8 63  3.71 4.23 4.65
   12.21   19  0.23   885.54  167 144.81  29 10 61  3.53 4.18 4.62
   22.37   12  0.26   903.03  168 147.74  27  9 64  3.53 4.15 4.61
   13.36   22  0.28   922.05  159 143.60  30 10 60  3.30 4.08 4.58
    9.18    5  0.05   923.98  163 146.85  27  9 64  3.26 4.05 4.56
   24.25    6  0.15   936.53  165 150.89  34 11 55  3.98 4.18 4.60
   11.90   19  0.22   923.98  158 142.73  25  9 66  4.06 4.19 4.60
   21.16    9  0.18   913.87  166 148.35  23  9 68  3.51 4.06 4.55
   14.77    6  0.09   953.08  161 149.65  33 10 57  3.37 4.01 4.53
   16.30   17  0.28   893.27  162 141.37  32 10 58  4.04 4.14 4.57
    9.33    6  0.05   954.47  160 149.54  29 10 61  3.97 4.12 4.55
   19.82    9  0.18   937.43  160 146.46  29 10 61  3.91 4.10 4.54
   12.09   13  0.16   934.65  156 141.99  28  9 62  3.84 4.08 4.53
  101.84    6  0.63   890.38  168 146.05  26  9 65  3.70 4.04 4.51
   13.72   21  0.28   868.78  165 139.84  25  8 67  3.37 3.96 4.47
   32.31   22  0.69   911.33  152 135.65  24  8 68  4.14 4.11 4.52
   16.28    6  0.09   932.74  162 147.24  27  9 63  3.66 4.01 4.48
   52.80   11  0.59   908.26  161 142.78  31 10 59  3.39 3.94 4.45
